Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Fstat nuisance model	pval nuisance model	R2stat nuisance model	Var Exp of rejected to accepted	classification	classification_tags
ICA_00	20.356740561481836	10.605298270736386	2.0086901803759547	0.027538057757172982	0	0	0.0	0.0	0.9980210408515323	0.31832610952611734	1	6.980099687900386	7.771561172376096e-16	0.5283603774189372	n/a	rejected	External regressors
ICA_01	19.209832626104593	36.22691536556477	1.1341103517368631	0.01469295785730858	0	594	0.0	0.5860547219770521	0.0	0.0	1	1.6247116074655832	0.037057732326221005	0.20682522698771788	n/a	rejected	Unlikely BOLD
ICA_02	33.125441843033116	15.011843921710156	12.91572102129925	0.14885603763624528	9217	1054	0.23955091151622943	0.0	-2.034912242172469	0.04188633538319854	1	15.272749366068675	1.1102230246251565e-16	0.7102442001428796	n/a	rejected	Unlikely BOLD,External regressors
ICA_03	29.23307856406124	24.03262834919661	1.7913876785887823	0.021633573839101795	232	0	0.0	0.0	2.484469331570728	0.01324169922646948	1	1.3866202598936983	0.11405314874871952	0.18203352494885006	n/a	rejected	Unlikely BOLD
ICA_04	32.34056485567479	18.780233930776376	1.5935716294189723	0.019372579306582666	2356	0	0.5646707862774345	0.0	20.449208015661362	2.528485969773968e-83	1	1.633036001063999	0.03553992179257415	0.2076648585411749	n/a	rejected	Unlikely BOLD
ICA_05	27.814006961986347	13.7807090689942	7.741734283572497	0.09091447167672219	3082	475	0.1589425587467363	0.0	-5.104113282801629	3.4315251708874997e-07	-1	5.269251698085762	1.1868617200150311e-11	0.4581949659643271	n/a	rejected	Unlikely BOLD
ICA_06	55.074839524846674	33.9943800087246	8.300387596333993	0.055247459465691796	9632	862	0.42921777050967563	0.0	0.0	0.0	1	7.507080890236574	1.1102230246251565e-16	0.546452379674597	n/a	rejected	External regressors
ICA_07	39.56982947707146	20.573652385720468	3.069180189555396	0.03096281820585816	1177	0	0.0	0.0	0.0	0.0	1	33.61519075573035	1.1102230246251565e-16	0.8436285828505498	n/a	rejected	External regressors
ICA_08	52.12696808300845	29.717985512997178	8.537153492136348	0.0530232327080427	2425	248	0.2057877813504823	0.0	-19.17536192525471	8.582723071518305e-78	1	3.9125555583329494	4.207860493377069e-08	0.3857271298792023	n/a	rejected	Unlikely BOLD
ICA_09	45.44467310925256	29.536046410364534	3.816429017937829	0.0380429090136937	5336	995	0.39800899779841103	0.29263370332996974	-1.4654363013978347	0.14320495141682132	-1	11.483791628495094	1.1102230246251565e-16	0.6482684905219835	n/a	rejected	Unlikely BOLD,External regressors
ICA_10	60.41360838568529	23.15592475244512	6.1264648640785655	0.06221274511022461	12928	243	0.4892838884737898	0.0	10.5784984400195	4.565549623932427e-25	1	2.4377195223823707	0.000383502569628269	0.28121620640000133	11.849094484733413	accepted	Likely BOLD
ICA_11	27.555973069257703	24.72271828040543	1.639342307866655	0.021062645600957077	0	0	0.0	0.0	0.0	0.0	-1	3.9878549082059607	2.6445992840073984e-08	0.39025360498344897	n/a	rejected	Unlikely BOLD
ICA_12	32.21747919532563	22.51862271489363	2.0962600332791954	0.023425934273032103	511	191	0.0	0.0	0.0	0.0	1	15.155666535539572	1.1102230246251565e-16	0.708657894244122	n/a	rejected	External regressors
ICA_13	35.31554991188364	21.185514187967428	3.9031772939847094	0.025362180291622547	163	0	0.0	0.0	3.3037571556603553	0.000995298095806978	1	4.121310408291307	1.1639969987875531e-08	0.39811424872938095	9.438239055107678	accepted	Likely BOLD
ICA_14	67.95000091542623	21.85599128268742	4.273488862922015	0.033358778950873025	6778	0	0.5786623960954778	0.0	21.566517013706346	4.498007486499131e-99	1	0.9855269301238608	0.49053883018392586	0.1365696346367652	7.979031432580285	accepted	Likely BOLD
ICA_15	59.32253320336716	20.908117214974176	3.941166813607677	0.03377801596610286	6755	0	0.6078254326561324	0.0	26.77342501273293	4.963168126627065e-150	1	4.514071076960884	1.062494980885731e-09	0.42011523183954125	8.436420563586278	accepted	Likely BOLD
ICA_16	23.374954360145093	21.285654130369025	1.507710357571759	0.018188510186765854	0	0	0.0	0.0	2.1852490239817945	0.029820886212817116	1	1.085810516646647	0.3633854499713196	0.1484041115017083	n/a	rejected	Unlikely BOLD
ICA_17	72.70226720396657	27.985773638056312	12.447444328368773	0.1104420742302102	12300	485	0.46948831332912194	0.0	-13.932114990484077	8.536884864795123e-38	1	42.53975025337004	1.1102230246251565e-16	0.8722431235780552	n/a	rejected	Unlikely BOLD,External regressors
ICA_18	23.8457854311155	20.66778057665159	1.214665347761833	0.017661579573992045	0	0	0.0	0.0	0.0	0.0	1	1.5472988101952347	0.05426592801827124	0.19893099443796747	n/a	rejected	Unlikely BOLD
ICA_19	26.296158082084013	23.730012539353776	1.4435727845529474	0.020801257860100734	0	0	0.0	0.0	0.0	0.0	-1	6.051023606918752	1.3422596367718143e-13	0.49268243544627666	n/a	rejected	Unlikely BOLD
ICA_20	35.093980654494956	21.801909508412884	3.1573638464961777	0.03341321852610846	2445	0	0.0	0.0	0.0	0.0	1	36.675652624630764	1.1102230246251565e-16	0.8547823621422522	n/a	rejected	External regressors
ICA_21	23.016555808718717	21.755385783523916	1.3223983405530093	0.01702052690933125	0	213	0.0	0.0	0.341188629510256	0.733189759097794	1	0.9549903419946854	0.5320600597338792	0.1329004028487638	n/a	rejected	Unlikely BOLD
