Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	estimated normalized variance explained	classification	rationale
PCA_00	94.82385892022093	33.587122990079195	35.829319343157515	0.13496879004804901	29278	2810	0.5049942971693222	0.09994548428130111	13866	-14.885559126089394	1.0142963813508152e-36	13.0	1	0.3680394330184752	accepted	n/a
PCA_01	64.20022286293266	31.903728867275635	7.787513372487352	0.03702270002457154	11401	276	0.3397091229616571	0.0	11412	0.0	0.0	11.7	1	0.07951630101561935	accepted	n/a
PCA_02	83.69319063993312	25.243664061694844	12.963139465274198	0.03209000123426088	34107	1545	0.6178812832131513	0.06729826853969291	7543	5.940170836703367	3.0005200832028787e-09	1.8	-1	0.09962117353672274	accepted	n/a
PCA_03	44.60169717437824	34.44366690457243	4.63831832964453	0.02255949124258414	3581	1137	0.14891532540237928	0.1855864342910975	11422	0.0	0.0	13.7	1	0.043847031920526275	accepted	n/a
PCA_04	56.519908656425365	31.47851868479043	6.05766013849569	0.021127713813525503	9556	720	0.36913639007879845	0.15767045454545456	9277	3.134159237214055	0.001736576336491923	4.4	1	0.041819830072502784	accepted	n/a
PCA_05	35.15958588553018	37.61613414116389	4.88830461356531	0.017139219206786842	546	936	0.16911764705882354	0.3817473567056205	10371	0.0	0.0	14.1	1	0.033040483602399646	accepted	n/a
PCA_06	38.3963487976593	35.49249718935496	4.259623246657638	0.014939854933619693	1057	718	0.0	0.0	9988	1.4485405408780563	0.1482626222802438	12.3	1	0.02853258803714867	accepted	n/a
PCA_07	44.110757054480665	36.01830092740175	2.034397104131933	0.012495197674606716	3397	1270	0.0	0.0	10155	-2.5235842062982936	0.012147232463268823	15.1	1	0.0232607379779663	accepted	n/a
PCA_08	44.63862296257255	28.344883044670866	1.584729901182245	0.010864215717519615	3037	0	0.0	0.0	10465	5.116981529476533	1.0104603030879032e-06	13.3	1	0.020085334126034273	accepted	n/a
PCA_09	46.48530626527827	28.371131110819864	1.5506999172881868	0.010419709726916372	4793	174	0.37182422854650526	0.0	9885	10.134558917380183	6.587655275562015e-23	4.0	-1	0.019294661241999314	accepted	n/a
PCA_10	32.360066365522954	30.595766268569594	1.2450160395134222	0.009384313510929138	0	517	0.0	0.0	10265	0.0	0.0	19.3	1	0.01736109384453144	accepted	n/a
PCA_11	40.42661194645299	26.379474407177575	1.4392209393454318	0.009105310290270003	2588	113	0.392850049652433	0.0	9753	12.696645370476286	6.647115602734421e-33	4.6	-1	0.016684962463328182	accepted	n/a
PCA_12	36.85901884276415	26.681471582136762	1.180784514943607	0.007922464642652033	2288	1065	0.0	0.0	10129	9.33609487763097	1.0936635217384446e-18	10.5	1	0.014684137143899522	accepted	n/a
PCA_13	34.34286356912691	24.48678368854651	1.4881651782496599	0.007554739132101882	1094	261	0.0	0.0	9863	1.0413468101680188	0.29815298035864424	12.1	1	0.01399362788538083	accepted	n/a
PCA_14	32.75897098163194	22.773319356416668	1.063078835355927	0.006827781713217051	586	0	0.0	0.0	9958	7.661146428851706	9.862226881631363e-14	11.7	-1	0.01242799716034991	accepted	n/a
PCA_15	26.366101664104423	25.937477650983713	1.0882621355176088	0.006692288675306877	0	0	0.0	0.0	10382	0.0	0.0	20.9	1	0.012222539638589828	accepted	n/a
PCA_16	28.814821712050144	24.781286111636696	0.8228323583178953	0.00639919824533701	105	0	0.0	0.0	10145	7.685884829885731	1.5032253695482438e-12	14.5	-1	0.011654712401090249	accepted	n/a
PCA_17	27.283178865605066	23.643300238407857	1.093504203003026	0.006355204414508555	335	0	0.0	0.0	10391	0.0	0.0	18.4	1	0.011570316871554106	accepted	n/a
