Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Fstat nuisance model	pval nuisance model	R2stat nuisance model	Var Exp of rejected to accepted	classification	classification_tags
ICA_00	28.406325822439445	23.503249005460887	1.3984795224900803	0.016972831148454246	898	0	0.0	0.0	0.0	0.0	-1	8.102139824268587	1.1102230246251565e-16	0.5652823019497775	n/a	rejected	External regressors
ICA_01	24.574586513218996	32.68486506223782	1.222845391636014	0.009271280282928937	131	473	0.0	0.0	4.6561538666052495	3.636260436696313e-06	1	3.8959057944709756	4.66353328176794e-08	0.38471717367849123	n/a	rejected	Unlikely BOLD
ICA_02	36.34997805783857	21.336375807939007	1.267471269748662	0.010447924500945411	645	328	0.0	0.0	-1.6351230483427428	0.10229981457031638	1	4.9843955101795006	6.350331371862694e-11	0.44443355272174556	n/a	rejected	Unlikely BOLD
ICA_03	40.48025995362978	20.544433034416492	0.6672583118356601	0.008937636586657818	2837	0	0.4672293050817023	0.0	24.40581236667793	1.4133663518117866e-118	1	1.7649731221025586	0.017977032574258422	0.22073911892229026	7.077449323056905	accepted	Likely BOLD
ICA_04	78.006873376928	23.227871412770845	4.818817063755929	0.03676257128692319	8185	93	0.4851939041011027	0.0	0.0	0.0	-1	432.58776643979945	1.1102230246251565e-16	0.9858010345409685	n/a	rejected	External regressors
ICA_05	21.783727337836893	24.010396387760316	0.5090959929787116	0.007026659031505896	0	163	0.0	0.0	4.69901453061112	9.795223026540024e-06	1	1.5251009462138285	0.060378536129579	0.19663827673906142	n/a	rejected	Unlikely BOLD
ICA_06	22.269279719692634	16.989199786056258	0.7161829304388232	0.009478235870150443	0	0	0.0	0.0	-7.630057061704474	7.534787043284641e-14	-1	10.981317899328218	1.1102230246251565e-16	0.6380003666217815	n/a	rejected	External regressors
ICA_07	57.38327587252031	23.398143988877464	2.2164500073675697	0.025988017187248937	4269	0	0.0	0.0	0.0	0.0	1	121.83151054514711	1.1102230246251565e-16	0.9513457886141661	n/a	rejected	External regressors
ICA_08	31.551179252312224	39.904940376326	1.2040072773738586	0.012048303458519816	644	784	0.42298084929225643	0.42522756827048114	4.665463979603024	5.506684426948651e-06	-1	0.628376939631979	0.9180431888532783	0.0916115393988205	n/a	rejected	Unlikely BOLD
ICA_09	33.107919612704436	18.97150954474941	0.48571116198195385	0.0068401395523201795	1051	174	0.0	0.0	14.423112932870996	9.468796135189417e-41	-1	1.9333423233917888	0.0072098859711092755	0.23680988562759386	n/a	rejected	Unlikely BOLD
