Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Fstat nuisance model	pval nuisance model	R2stat nuisance model	classification	classification_tags	Var Exp of rejected to accepted
ICA_00	28.01331332451603	31.29091852288758	1.9301424933923197	0.013895187758316996	218	706	0.0	0.5433526011560693	6.134764730105418	9.107326260200722e-10	1	9.681229029352139	1.1102230246251565e-16	0.6084232081406911	rejected	Unlikely BOLD,External regressors	n/a
ICA_01	42.421850843765476	20.1742689715047	0.8539368369602132	0.009692773648230433	3398	0	0.47785513257295215	0.0	16.215310178627142	9.652011975467803e-53	1	3.112655296906435	6.058040058376513e-06	0.3331385925670618	rejected	Unlikely BOLD	n/a
ICA_02	33.65031708519234	36.44120693350906	1.040290082219101	0.011230857163929853	596	1044	0.0	0.0	0.818300573018727	0.41470011739766477	1	15.338303842043386	1.1102230246251565e-16	0.7111248494668512	rejected	Unlikely BOLD,External regressors	n/a
ICA_03	20.792790995104234	16.640062619160705	0.5292337435561117	0.006445764339065445	0	210	0.0	0.0	2.281031414053183	0.02277517324584479	1	2.7414839264746704	6.029937957319209e-05	0.3055513345899393	rejected	Unlikely BOLD	n/a
ICA_04	19.838793048311594	62.410347488063316	0.5309057303517111	0.005880207978833914	0	1607	0.0	0.79688007799805	0.3653834799391063	0.7154293052852148	1	1.0585710696562936	0.39616054823360325	0.14522179319773265	rejected	Unlikely BOLD	n/a
ICA_05	30.07480091021655	19.165053124385445	0.4720780196862684	0.006226545395842384	966	0	0.0	0.0	12.946177399158277	1.0891766658698409e-33	1	3.669224411005772	1.898362181895763e-07	0.3706289664190031	rejected	Unlikely BOLD	n/a
ICA_06	52.826936823407436	22.21537183228935	2.2509222394150874	0.01397220990777385	2903	441	0.3856720570335594	0.0	-1.9294653886831887	0.053825143942934084	1	5.938743029422963	2.5268676040468563e-13	0.48800172944064835	rejected	Unlikely BOLD	n/a
ICA_07	50.96643494632695	20.003939923527355	1.1769070678556557	0.012883592159344624	4196	387	0.5109506618531889	0.0	22.85681928125851	8.825554096481727e-105	1	8.962558693137073	1.1102230246251565e-16	0.5899009577114913	rejected	External regressors	n/a
ICA_08	44.03921430667844	20.508952066981543	0.74061455390914	0.009069158335679202	2378	0	0.4482101249735226	0.0	19.264615248887065	3.963744624759605e-77	1	1.1404968266442128	0.3024111713299851	0.15472197282815348	rejected	Unlikely BOLD	n/a
ICA_09	24.11120366871975	21.049057719465104	0.7071626280126857	0.009976414887708982	0	0	0.0	0.0	-9.239246154238177	5.59278052119185e-18	-1	12.299594911948368	1.1102230246251565e-16	0.6637535461914863	rejected	External regressors	n/a
ICA_10	44.039518108738214	20.27892023574594	1.0105890001356823	0.010452644048776575	4114	0	0.5071489673713797	0.0	22.938634038990486	2.6494170650899984e-102	1	3.772756005974672	9.989854843350798e-08	0.37714264888511295	rejected	Unlikely BOLD	n/a
ICA_11	26.161363830655354	23.129155292247958	0.5166781936943244	0.006399589527796043	0	0	0.0	0.0	0.0	0.0	-1	2.746215466025184	5.856998592701501e-05	0.30591736075988063	rejected	Unlikely BOLD	n/a
ICA_12	32.36609612539888	37.931451964276114	1.1935051257649563	0.011487262508943032	371	688	0.0	0.0	5.162506433099186	3.433400193789899e-07	-1	1.00142433669111	0.469319251459543	0.1384675793519684	rejected	Unlikely BOLD	n/a
ICA_13	40.763102870728154	19.92165001197604	0.5404261519685662	0.007843185022532312	1587	0	0.0	0.0	13.865630180526265	8.06488576699117e-41	1	1.0221294462525983	0.44219822028903955	0.14092702680251734	rejected	Unlikely BOLD	n/a
ICA_14	91.0488964750365	32.787055203462515	21.578123353352943	0.18578081045369085	21890	1840	0.5028634260319788	0.0	-2.5881064162599854	0.01137357168696887	1	598.7154963771959	1.1102230246251565e-16	0.9897002930921355	rejected	Unlikely BOLD,External regressors	n/a
ICA_15	37.702079228738896	19.76750655772621	0.8438747541573131	0.011456870230627577	460	187	0.0	0.0	1.9334749964576072	0.05327895479229924	-1	23.861135487619837	1.1102230246251565e-16	0.7929420125087121	rejected	External regressors	n/a
ICA_16	45.82944835719982	19.318275679077605	0.8554541398030175	0.00930097518259096	3823	0	0.5550579557428873	0.0	22.030469280411612	4.59590512765999e-100	1	2.6137169499085204	0.00013192599107647585	0.29551936613554997	rejected	Unlikely BOLD	n/a
ICA_17	45.52674651281914	20.21917389095223	0.657744705173781	0.007601846840560362	2193	0	0.5419354838709678	0.0	25.3431125948724	3.4479311545997177e-131	1	1.4217450770622175	0.09756470978946852	0.18578796717926138	rejected	Unlikely BOLD	n/a
ICA_18	31.70153181159328	36.896220827367266	1.1171112192658927	0.011373612462105321	550	857	0.0	0.5566037735849056	5.9995542492584955	1.0622408025581143e-08	1	0.8384912829025366	0.6923963216032554	0.11861089024529736	rejected	Unlikely BOLD	n/a
ICA_19	29.98623146397999	28.341372421137226	0.710666759844093	0.008146727013244731	526	702	0.0	0.0	0.0	0.0	1	5.5947071277725335	1.7970069876582784e-12	0.4731062798777972	rejected	Unlikely BOLD	n/a
ICA_20	22.39276164287189	18.43229090762379	0.5583048305419394	0.00825606764439685	0	0	0.0	0.0	0.0	0.0	1	6.710441197870139	3.552713678800501e-15	0.5185327319166133	rejected	External regressors	n/a
ICA_21	46.869839777013645	28.854406776529245	2.2320691462656685	0.021706828031412623	2811	646	0.2896421845574388	0.0	0.0	0.0	-1	204.10533238811487	1.1102230246251565e-16	0.9703770813340499	rejected	External regressors	n/a
ICA_22	113.69392502174053	37.07965252539677	50.69994498994007	0.5259610453773256	28285	4756	0.5434634303974722	0.14576951515791697	-1.3943296022362421	0.16468716079180495	1	499.0585325478871	1.1102230246251565e-16	0.9876689072797772	rejected	Unlikely BOLD,External regressors	n/a
ICA_23	20.41026928979548	29.707760950115905	0.43302556033862877	0.005390533529689715	0	744	0.0	0.669964664310954	3.305751362860736	0.0012756155940657815	1	2.5946873599663256	0.00014816407719719926	0.29400035378227063	rejected	Unlikely BOLD	n/a
ICA_24	38.26014594782242	21.34465431167028	1.0497980691914863	0.010927054848306859	1076	0	0.0	0.0	0.0	0.0	1	64.00193987812055	1.1102230246251565e-16	0.9112839400640382	rejected	External regressors	n/a
ICA_25	72.00676711889639	25.060205429709672	3.5238748991586335	0.02915546142695114	9487	185	0.4236899563318777	0.0	0.0	0.0	-1	221.41623664401303	1.1102230246251565e-16	0.9726296895194111	rejected	External regressors	n/a
ICA_26	30.87799148884156	21.58249828983288	0.7542964169104777	0.008816264277555537	124	0	0.0	0.0	0.0	0.0	1	24.61964275633509	1.1102230246251565e-16	0.7980328679768123	rejected	External regressors	n/a
ICA_27	30.20704643296995	22.162353635411836	0.6500017648339785	0.00860627322261576	180	296	0.0	0.0	0.0	0.0	-1	4.495128167806612	1.191565290881158e-09	0.41909110266181215	rejected	Unlikely BOLD	n/a
ICA_28	21.71598041764306	21.184913746432624	0.4378403701660006	0.006055843432084097	0	128	0.0	0.0	0.0	0.0	1	0.847444153026573	0.6803533331992166	0.11972571425532774	rejected	Unlikely BOLD	n/a
ICA_29	23.227284727423722	18.75038166539267	0.40447715413425633	0.006008393344068343	0	0	0.0	0.0	0.0	0.0	-1	5.390207852492059	5.863309837650377e-12	0.4638343070356835	rejected	Unlikely BOLD	n/a
