Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Fstat nuisance model	pval nuisance model	R2stat nuisance model	Var Exp of rejected to accepted	classification	classification_tags
ICA_00	57.12094112748957	22.621822741308556	1.6170071541356608	0.019240674531267966	10572	374	0.5580742032354935	0.0	18.65750284035103	1.4662311772150923e-72	1	3.5560074138328774	3.8357726173110507e-07	0.36334817304676015	28.080044243619096	accepted	Likely BOLD
ICA_01	55.87477054317657	20.06624730953373	1.7736695777406657	0.01516444750536251	4150	0	0.4577558153549476	0.0	0.0	0.0	1	18.29639539446503	1.1102230246251565e-16	0.7459645529365904	n/a	rejected	External regressors
ICA_02	23.177803346846545	23.234086320023962	0.34392338826262603	0.005941967163273603	0	625	0.0	0.0	0.0	0.0	1	2.2332236858208754	0.0012948337312151947	0.2638499001391621	n/a	rejected	Unlikely BOLD
ICA_03	24.299374812729386	30.882253860755327	0.4101954967034968	0.006785466419728346	0	1544	0.0	0.5051718385051719	1.2208472098806655	0.2240940539585695	1	2.53596146432168	0.00021177955264706227	0.28927105810855325	n/a	rejected	Unlikely BOLD
ICA_04	37.84174386810309	41.84270830004291	0.8697176507397877	0.011387899508365655	701	1549	0.0	0.43475388173108687	3.709329778991717	0.0002702691738209193	-1	1.2299975481661831	0.2177865529705173	0.1648620824925039	n/a	rejected	Unlikely BOLD
ICA_05	71.64903782304778	67.39911038331317	3.6264289220171673	0.04055499406908986	6421	13488	0.4038971161340608	0.5818577430972389	-10.793287256557253	5.833532519094521e-27	-1	34.31633620224161	1.1102230246251565e-16	0.8463325762904756	n/a	rejected	Unlikely BOLD,External regressors
ICA_06	34.61102121556882	18.984156229604398	0.6054820074043473	0.009966640090645396	431	0	0.0	0.0	0.0	0.0	1	3.1702104985102446	4.234724893525943e-06	0.33722128861065215	n/a	rejected	Unlikely BOLD
ICA_07	65.58872003632652	33.478049621871044	12.978911212084029	0.12249045701527778	18126	2659	0.4437403665011132	0.31477272727272726	0.0	0.0	1	95.11316866216052	1.1102230246251565e-16	0.9385185797955468	n/a	rejected	External regressors
ICA_08	59.126434288383244	21.263541907737856	1.5979246551389097	0.014888178888454683	9463	98	0.6206446703266837	0.0	29.162858231728794	4.567964216116012e-171	1	2.921216531101317	1.9881837819646364e-05	0.3191893657955449	22.177004095296184	accepted	Likely BOLD
ICA_09	46.13261948754824	20.75480938615006	0.8074988177116108	0.01015049362185054	3074	209	0.6126515025734683	0.0	36.12879074345787	2.4352854878564683e-226	1	4.9660701464776995	7.079326014292064e-11	0.4435242820906441	n/a	rejected	Unlikely BOLD
ICA_10	23.621820827034863	40.40054743594193	0.47907024894358824	0.00651643011173713	0	1650	0.0	0.6969512195121951	0.0	0.0	1	1.8424957576225296	0.011868617197034359	0.22822188547902045	n/a	rejected	Unlikely BOLD
ICA_11	58.7776954562	24.680853656279716	1.3722899194546918	0.017987190933644443	4377	0	0.42200754005655045	0.0	0.0	0.0	-1	17.177054871718642	1.1102230246251565e-16	0.733816812554269	n/a	rejected	External regressors
ICA_12	69.82742071987971	23.96538384643543	1.217163837366695	0.015147624181190172	7834	179	0.6259228349489632	0.0	24.56634613575609	2.7644345767230656e-128	1	2.7635670572281223	5.263866567006836e-05	0.30725636319780614	17.913980494742265	accepted	Likely BOLD
ICA_13	30.912811571260526	25.748496050374623	1.1310415191437764	0.014263922477432512	323	291	0.0	0.0	0.0	0.0	1	4.768602965232221	2.2964574686312744e-10	0.4335341036069066	n/a	rejected	Unlikely BOLD
ICA_14	41.23085055122441	40.67808440205046	1.4726458459377927	0.015080236170902818	1572	2724	0.0	0.0	0.0	0.0	1	4.367592540723872	2.584061631338841e-09	0.4121007222523376	n/a	rejected	Unlikely BOLD
ICA_15	36.502664143434075	46.160379804429404	0.9444257407315942	0.011808400340918098	537	1988	0.0	0.5143005720228809	-2.3717254627188735	0.018496351262914767	1	1.2239807226027248	0.2228720622736824	0.16418803182648534	n/a	rejected	Unlikely BOLD
ICA_16	24.24149032451521	19.175087166028813	0.4378101838525396	0.007809546743657315	0	224	0.0	0.0	-7.698860795432194	7.052150701951667e-14	1	8.428102909524831	1.1102230246251565e-16	0.5749489339195342	n/a	rejected	External regressors
ICA_17	20.701759882666188	70.18600960235975	0.536805132876746	0.006361782762541099	0	1478	0.0	0.8001361933946204	6.857068126757346	1.6420808795642918e-11	1	0.6318656489305172	0.9155194351417435	0.09207333043458699	n/a	rejected	Unlikely BOLD
ICA_18	54.249959236602585	28.290578008573483	1.2995081904591033	0.013685389281057753	2191	438	0.43295638126009695	0.0	0.0	0.0	1	4.357476862130595	2.7481339426316254e-09	0.4115390617009359	33.039295305235804	accepted	Likely BOLD
ICA_19	24.11012848100239	21.087237294947652	0.34723907260393144	0.006785573041314044	0	0	0.0	0.0	0.0	0.0	-1	2.032686398416643	0.0041272263725218306	0.24598503212594913	n/a	rejected	Unlikely BOLD
ICA_20	30.50456864514068	20.089904836697535	0.42491393723894916	0.0071002418382671495	734	410	0.31150930392832527	0.0	0.0	0.0	-1	2.3369375287359984	0.0007011132757246408	0.27276114768322823	n/a	rejected	Unlikely BOLD
ICA_21	84.71481643501912	56.215488697331644	11.098889476898819	0.093203932693777	16459	10530	0.5352164231461428	0.3691852134874391	-0.10577133736051565	0.9158825973378539	-1	66.05802700813975	1.1102230246251565e-16	0.9138072626057154	n/a	rejected	Unlikely BOLD,External regressors
ICA_22	33.86982595378637	29.644575388122497	1.2517920311128425	0.018584798292598907	216	279	0.0	0.0	0.0	0.0	1	10.154407253911677	1.1102230246251565e-16	0.6197313323665081	n/a	rejected	Unlikely BOLD,External regressors
ICA_23	46.12614182066509	42.88127937316956	1.3537661612406096	0.015613696376015533	3414	2183	0.3725314183123878	0.26369545032497677	-3.7248326763078703	0.0002080253086459139	1	5.292980842760198	1.0331735467161707e-11	0.4593106244917974	n/a	rejected	Unlikely BOLD
ICA_24	46.775248102332085	28.37779709028055	2.2342369576330037	0.015520189327187421	1961	902	0.22843942505133472	0.11320754716981132	-6.3428535426283785	2.786355392061353e-10	1	3.1367396863898893	5.215211406062181e-06	0.3348531305525746	n/a	rejected	Unlikely BOLD
ICA_25	45.149999746810245	36.46584893609266	1.9734313761819828	0.020505772682867716	1983	1149	0.0	0.0	0.0	0.0	1	14.323423700273368	1.1102230246251565e-16	0.6968614018719741	n/a	rejected	External regressors
ICA_26	43.47142501755842	23.76780919256355	0.9592529278069301	0.010738304167101554	5305	834	0.48498016247874554	0.26691042047531993	18.181087268767076	1.4609486200155862e-68	1	2.6683446578085954	9.446354277908853e-05	0.2998438598738987	n/a	rejected	Unlikely BOLD
ICA_27	47.13479486280291	33.01906203310025	1.652964042898972	0.01740879136088335	6854	1810	0.3782205678417634	0.2799334811529933	-1.8714479588450634	0.06359722950949467	1	26.87154486206677	1.1102230246251565e-16	0.8117723971413318	n/a	rejected	Unlikely BOLD,External regressors
ICA_28	37.642921607775314	23.261936614891987	0.911447295108699	0.012136979844755964	794	296	0.0	0.0	0.0	0.0	1	54.98779471386578	1.1102230246251565e-16	0.8982209181449563	n/a	rejected	External regressors
ICA_29	54.479540677635406	30.92387156004222	3.0103909915364113	0.026945151694586198	4896	526	0.40562080536912754	0.0	0.0	0.0	1	8.379613535411375	1.1102230246251565e-16	0.5735382617632778	n/a	rejected	External regressors
ICA_30	35.25178219624098	22.794671699573183	1.444043371974011	0.009831398895933456	1205	128	0.4424552429667519	0.0	9.807078826107155	1.5141658740979382e-20	1	3.654356341877084	2.0819206070221696e-07	0.3696823388859377	n/a	rejected	Unlikely BOLD
ICA_31	24.20468271558262	23.16311195562925	0.35310141694576996	0.006951871309381159	0	266	0.0	0.0	0.0	0.0	1	2.502469590097224	0.00025944544716272055	0.2865454204822656	n/a	rejected	Unlikely BOLD
ICA_32	34.46522943611623	74.30924893518191	2.617558901894348	0.027866047725349955	4016	13708	0.30922630316799193	0.5952291368801265	-2.189556638636485	0.028613178714694033	1	28.290193034481774	1.1102230246251565e-16	0.8195076607977073	n/a	rejected	Unlikely BOLD,External regressors
ICA_33	60.895041187137544	32.268380362970895	5.579766026115282	0.04886950918573385	13038	1600	0.5080434265789682	0.0	0.0	0.0	1	52.43423280681554	1.1102230246251565e-16	0.8937906926726538	n/a	rejected	External regressors
ICA_34	81.62382934973006	31.130838778869034	20.45039830843368	0.16684437152629494	22910	2224	0.5757688845959651	0.14095324147278065	0.0	0.0	1	162.26408298159086	1.1102230246251565e-16	0.9630210113308603	n/a	rejected	External regressors
ICA_35	30.98885693697575	35.403200764581584	0.6510972712934029	0.008263417917251381	1340	3349	0.3711890243902439	0.43766978569272563	7.3104872816691415	5.806035055555112e-13	1	5.762812609052633	6.860068069158842e-13	0.480491373304226	n/a	rejected	Unlikely BOLD
ICA_36	24.408990319562548	54.88333889550281	0.9529876540182463	0.010576041382130705	262	4427	0.0	0.5707829623771326	4.013891982082083	6.274450059590874e-05	1	9.757620714346169	1.1102230246251565e-16	0.6102941414264925	n/a	rejected	Unlikely BOLD,External regressors
ICA_37	24.313784378218845	20.994459104267886	0.5049526721990053	0.00920471041703164	0	121	0.0	0.0	2.4798538147064937	0.01363924024329948	1	6.255891601419155	4.2743586448068527e-14	0.5010059683284247	n/a	rejected	External regressors
ICA_38	24.522285425258104	20.448899172217278	0.3587695848520075	0.0060134759347846576	328	270	0.0	0.0	0.0	0.0	-1	2.1469873036048184	0.002141924686677177	0.25627234389012143	n/a	rejected	Unlikely BOLD
ICA_39	26.235275056966692	25.900491867861458	0.5461687975583038	0.010034826726441638	0	940	0.0	0.0	0.0	0.0	-1	14.824957500191841	1.1102230246251565e-16	0.704081967324961	n/a	rejected	External regressors
ICA_40	21.10690846668387	59.84977506683362	0.47280290947711473	0.006490261691235784	0	2291	0.0	0.6587122917604683	0.0	0.0	1	1.5989049681973206	0.0421467320004526	0.20421091958185977	n/a	rejected	Unlikely BOLD
ICA_41	23.056538334101965	24.994072638678993	0.37034843695217345	0.006513890255081945	0	707	0.0	0.0	0.0	0.0	-1	3.6340694581455923	2.361428239616714e-07	0.3683861006494934	n/a	rejected	Unlikely BOLD
ICA_42	23.384512720745345	19.486254148152234	0.3625925597041658	0.006305232069216251	0	111	0.0	0.0	0.0	0.0	-1	4.239600480463734	5.640326983247235e-09	0.40491411453363946	n/a	rejected	Unlikely BOLD
ICA_43	25.347252034370815	22.818519672169963	0.9411902958645116	0.01670027836228765	0	1318	0.0	0.4198936977980258	2.0760436878606727	0.03832392780996175	1	6.984040709944501	7.771561172376096e-16	0.5285010334070149	n/a	rejected	External regressors
ICA_44	54.61724592024613	31.42893437662372	5.321042572272657	0.04349798114054237	13248	2127	0.5133839241892248	0.21720733427362482	0.0	0.0	1	22.742913128779097	1.1102230246251565e-16	0.7849507303404302	n/a	rejected	External regressors
ICA_45	21.956191310631983	19.648900407903124	0.3333354494793553	0.006261512325550048	0	0	0.0	0.0	0.0	0.0	1	1.8158550366068533	0.013704148409944938	0.22566668658420952	n/a	rejected	Unlikely BOLD
