Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Fstat nuisance model	pval nuisance model	R2stat nuisance model	Var Exp of rejected to accepted	classification	classification_tags
ICA_00	52.60191992604377	33.27235436166136	2.9798759190142308	0.03209902232842535	4281	715	0.0	0.0	0.0	0.0	-1	16.464497543089248	1.1102230246251565e-16	0.7254595289469725	n/a	rejected	External regressors
ICA_01	22.027212796678654	37.83472170427294	0.8346111405811614	0.01070976355847714	0	1106	0.0	0.7143503847894975	0.0	0.0	1	2.510239004374808	0.0002475232154682816	0.28717957206379907	n/a	rejected	Unlikely BOLD
ICA_02	20.56858082354546	54.03077061542037	0.9428967671680567	0.010897048306804854	0	1420	0.0	0.7724529641462549	7.486329177846265	1.476194588441609e-13	-1	0.37065898688555	0.9979076900652937	0.05614830225590639	n/a	rejected	Unlikely BOLD
ICA_03	73.30903802280153	24.31500391544732	3.438533785901442	0.03791126082095959	7763	936	0.6011493510686382	0.0	15.200654958996195	2.2163714569232317e-51	1	4.594778901937224	6.525511242472248e-10	0.42443845296436744	21.71130553299627	accepted	Likely BOLD
ICA_04	26.003724793070628	35.75790331601185	1.2047330967747734	0.013623836794118247	266	972	0.0	0.41804979253112035	2.135585344309989	0.03311800834881114	1	11.537650746487618	1.1102230246251565e-16	0.6493346488464102	n/a	rejected	External regressors,Unlikely BOLD
ICA_05	48.420076268770046	24.266002479561966	2.574867051535434	0.026448965268780055	3474	126	0.4042049156055671	0.0	0.0	0.0	-1	57.14095028974522	1.1102230246251565e-16	0.9016790253142456	n/a	rejected	External regressors
ICA_06	42.96884400556744	52.32732248743419	2.9879407006767167	0.02928365924346011	1182	1651	0.26723768736616704	0.5112591183000317	3.2699052402469304	0.0011379461927486718	-1	1.4582832196944486	0.08261811256826757	0.18965707791556408	n/a	rejected	Unlikely BOLD
ICA_07	58.15198753999198	20.638541973099045	4.202487949397867	0.032350324447109134	4062	0	0.4961029320796734	0.0	22.721790924894506	2.8818452486009963e-103	1	11.287918936483285	1.1102230246251565e-16	0.6443358560136747	n/a	rejected	External regressors
ICA_08	44.45076746358551	24.056361042219315	3.103407550475478	0.022727552620824844	1772	352	0.29359379488652687	0.0	0.4880187987499276	0.6255798195482731	1	3.256236657493529	2.478818934115168e-06	0.3432312255146923	n/a	rejected	Unlikely BOLD
ICA_09	42.366422424018495	22.910670187933366	1.757753131172676	0.019290826674691924	2571	843	0.5329681080023478	0.0	20.38232277031136	2.664679728154187e-83	1	4.00398706673996	2.394429399199538e-08	0.3912146953332344	n/a	rejected	Unlikely BOLD
ICA_10	29.474547708157907	26.05449677961079	1.000296857953304	0.016469555175051612	0	249	0.0	0.0	0.0	0.0	1	5.118718166679882	2.8713809108182886e-11	0.4510087537372265	n/a	rejected	Unlikely BOLD
ICA_11	53.17989563542535	34.016262447949956	3.9108938046725807	0.033303497234150596	6868	950	0.40515463917525774	0.0	-3.50316364236607	0.0005504108224661213	1	19.803504289114205	1.1102230246251565e-16	0.7606705166552645	n/a	rejected	External regressors,Unlikely BOLD
ICA_12	41.868991383415796	21.882433383961384	1.342293724338156	0.017626716129589097	2509	112	0.5180300844838245	0.0	15.062670648760813	9.249236600426587e-49	1	1.7420077947060173	0.02028975242388331	0.21849448305650798	n/a	rejected	Unlikely BOLD
ICA_13	56.050786816423496	22.161743969679957	2.6208843334862006	0.026852920981918035	7259	322	0.5662370589478132	0.0	21.539155599627858	3.038868868554534e-97	1	7.37094401123002	1.1102230246251565e-16	0.5419129105346878	n/a	rejected	External regressors
ICA_14	53.84894480145974	31.257700367028132	2.921120938561652	0.029803375391923445	4531	547	0.38367623784761473	0.0	0.0	0.0	1	14.13853735826632	1.1102230246251565e-16	0.6941098999352708	n/a	rejected	External regressors
ICA_15	39.43363395529163	49.028632180066595	2.809537824899901	0.027896904357999092	1041	2471	0.23009708737864076	0.4922301553968921	3.551890026865422	0.0004380371916162387	1	0.5243516160870719	0.9724716236296201	0.07762283280706883	n/a	rejected	Unlikely BOLD
ICA_16	44.831730428743114	20.444622362071687	1.3561415204934484	0.01693296843088931	4089	267	0.5343416811306719	0.0	27.373270496139458	4.508266576376052e-151	1	1.461846550985962	0.08127262606370145	0.19003244051952617	10.911718283918026	accepted	Likely BOLD
ICA_17	72.5817804163549	22.56641785206949	4.032274340124591	0.03533602000768676	10555	220	0.5859884929652371	0.0	23.131715471523496	1.7484352956272178e-113	1	4.135027173183979	1.070046884432685e-08	0.3989107071027366	15.693060121530012	accepted	Likely BOLD
ICA_18	43.479287923749396	36.19467176760581	2.5971417641757126	0.028066257790348298	3002	1138	0.3685528292438658	0.0	0.0	0.0	1	5.81921734453709	4.976019596369952e-13	0.4829231392225979	n/a	rejected	Unlikely BOLD
ICA_19	25.5786159664943	24.292627137438057	0.8260533673625657	0.01338915784688669	0	104	0.0	0.0	0.0	0.0	1	3.8881049654765225	4.8937640606538935e-08	0.3842428406629529	n/a	rejected	Unlikely BOLD
ICA_20	20.236873605063014	58.175015400601254	1.0829867187206288	0.011295375798335597	0	1595	0.0	0.7925007944073721	8.056454715453615	2.3254840296831806e-15	-1	0.748591085391856	0.8050759631476898	0.10725783617424833	n/a	rejected	Unlikely BOLD
ICA_21	74.7442025759538	33.71926515483141	25.083358044111787	0.1962745461860532	15838	1778	0.5152127216184156	0.0759860788863109	-0.3562804497906178	0.7219592944362396	-1	39.297275317530065	1.1102230246251565e-16	0.8631443697486458	n/a	rejected	External regressors,Unlikely BOLD
ICA_22	78.10992284061442	38.27923711957158	18.48554813136099	0.20104724062595988	15703	3671	0.4506036050934348	0.0	0.0	0.0	1	44.8780482633956	1.1102230246251565e-16	0.8780881746778703	n/a	rejected	External regressors,Likely BOLD
ICA_23	28.851719018974297	21.95089598535456	2.0294154067753136	0.02363964326825828	344	555	0.0	0.20060180541624875	-9.620241404005746	5.595960736133748e-21	1	13.331187637897452	1.1102230246251565e-16	0.6814853814165519	n/a	rejected	External regressors,Unlikely BOLD
ICA_24	27.80282434015156	25.87123256535973	1.7554282805253483	0.02179571028272997	749	730	0.287248322147651	0.21478382147838215	1.1131317581983682	0.26575151694092186	1	15.381439765273274	1.1102230246251565e-16	0.7117014169208631	n/a	rejected	External regressors
ICA_25	28.668786303415406	24.165844616073798	0.9766320029946903	0.01659353793890352	0	134	0.0	0.0	0.0	0.0	1	10.01902781468624	1.1102230246251565e-16	0.6165632584000936	n/a	rejected	External regressors
ICA_26	27.695088402593324	22.512647899769515	1.008665145936344	0.016898207567384586	0	201	0.0	0.0	0.0	0.0	-1	9.962594288379558	1.1102230246251565e-16	0.615226989537949	n/a	rejected	External regressors
ICA_27	35.1352827304374	23.337680171711963	1.160391578501688	0.017729450852844043	1420	368	0.0	0.0	6.872710457287163	8.391695266515446e-11	-1	3.48141480710521	6.100436305001011e-07	0.35845848817617076	n/a	rejected	Unlikely BOLD
ICA_28	25.084025684121332	32.28340005506198	0.9738291223072695	0.01370665406943698	110	876	0.0	0.5882352941176471	0.0	0.0	1	2.184574093326935	0.001721420164456866	0.2595941733086172	n/a	rejected	Unlikely BOLD
