Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	estimated normalized variance explained	classification	rationale
PCA_00	72.72533275553394	50.988059951289266	39.80043882961275	0.14657432193506653	23679	18171	0.3867372764201706	0.2875735626980534	11208	-10.761421008494	4.721945310965266e-23	14.2	-1	0.40952488310750323	accepted	n/a
PCA_01	66.77759048100246	32.777751411828724	7.143222115407173	0.03536980676063729	11363	1120	0.44060877667835113	0.0	10872	-2.56375093174417	0.011409089399504224	14.0	-1	0.06824553222900168	accepted	n/a
PCA_02	81.66271960617901	26.864421121107487	9.485196507099394	0.026747912759945584	29296	11618	0.6149182177100959	0.17326732673267325	6931	13.103427079284566	1.3012139695245514e-38	0.2	-1	0.07835389181906562	accepted	n/a
PCA_03	49.66778517754814	34.881946061843735	3.3145583076182294	0.01821599202263551	5074	1772	0.3562	0.3307757885763001	8828	-15.146792640697694	4.873435129484957e-49	9.4	-1	0.033292900322352305	accepted	n/a
PCA_04	51.15976974832373	41.062131962185966	4.509853819779563	0.017549583785476344	6163	2442	0.2966396292004635	0.3688507431442328	9719	9.665845460866196	7.910373968089077e-21	8.4	-1	0.03362450357709734	accepted	n/a
PCA_05	42.82379499008463	45.92666600304653	3.942728301037541	0.01632204465264869	1223	2095	0.3191489361702128	0.4335190118672802	9038	1.48414600960548	0.14048433160914922	7.2	-1	0.030205390129199376	accepted	n/a
PCA_06	44.49956228777311	37.858129035256745	3.090352895538314	0.013791738535189082	3104	2861	0.19359036928583048	0.377560106856634	9475	5.900975720995995	6.66441318971131e-09	7.4	-1	0.025420032447863002	accepted	n/a
PCA_07	38.811779199473605	29.09579600421838	2.270437148065381	0.013365058226940577	1483	1559	0.08391608391608392	0.32848367280956997	8941	-15.843438516730687	2.2517718499132033e-51	12.8	-1	0.02366469935707232	accepted	n/a
PCA_08	41.97357838927742	28.72857061065507	2.2594949812370637	0.01217536119735398	2773	855	0.2903831705484598	0.0	9798	0.0	0.0	14.5	-1	0.021387737309127127	accepted	n/a
PCA_09	33.373273883931084	34.646008328831996	1.7613751021998505	0.01015124056838477	390	1665	0.0	0.0	9690	0.0	0.0	19.3	1	0.01776661329180397	accepted	n/a
PCA_10	33.612728113317736	32.53883971914942	1.709872236939027	0.009065390958643525	252	1525	0.0	0.4411867364746946	9442	1.1725459192424459	0.24309129085414657	15.2	-1	0.01581103327649201	accepted	n/a
PCA_11	39.40308636588715	24.199085047236895	1.446956448692241	0.008517811321304176	2572	208	0.26195179770841565	0.0	9002	2.439555519799451	0.014850875141597306	6.8	1	0.014881335441766494	accepted	n/a
PCA_12	38.10082703642632	23.864782778104885	1.3714460288355557	0.008088361987617431	1389	616	0.0	0.0	9213	12.815675064825244	8.904631198569986e-34	10.2	-1	0.014306257390774648	accepted	n/a
PCA_13	33.08432173235882	26.708139999312547	1.1351006716095584	0.007955244006580781	366	845	0.0	0.0	9502	5.988129322390712	3.32359841988109e-08	14.0	1	0.013847185498676962	accepted	n/a
PCA_14	35.449747656783394	22.940029172181436	1.2114016295447827	0.007322409360724748	1123	693	0.0	0.0	9343	10.868983185243946	4.280269948100526e-24	11.4	1	0.013186801930848768	accepted	n/a
PCA_15	32.52378260148583	23.071799805585826	1.0621348630857068	0.0069607946258759875	516	143	0.0	0.0	9407	1.3563582369867335	0.17814277808525913	14.6	1	0.012536237700266772	accepted	n/a
PCA_16	31.733544420364684	22.063907436125376	0.9277154752311636	0.006722159996462196	637	0	0.0	0.0	9647	0.0	0.0	18.5	1	0.011695275520298615	accepted	n/a
PCA_17	26.085138007728332	29.036245490765	1.0923398421446404	0.006342675358279967	0	1209	0.0	0.6593499366821444	9181	0.8248873407136027	0.4099335828902956	17.4	1	0.010996970630726376	accepted	n/a
PCA_18	25.386551138158662	37.26829885500586	1.08376357172383	0.0060674651156392	106	1502	0.0	0.7574206755373593	8490	2.1785214127534904	0.029679398348488605	14.4	-1	0.010676304287445213	accepted	n/a
PCA_19	24.87557501853732	24.932483900810197	0.9355845276209372	0.005833668797040161	127	849	0.0	0.0	9302	3.403547020328496	0.0007777215933645908	15.6	-1	0.010203065047748585	accepted	n/a
PCA_20	25.777576207534317	25.796190004132963	0.9631496491490685	0.005761435154540689	0	978	0.0	0.6164874551971327	9524	0.0	0.0	20.9	1	0.009987785340938447	accepted	n/a
PCA_21	25.65693182138699	21.37552428900682	0.7732571775870536	0.005579177173332499	353	705	0.0	0.0	9567	0.0	0.0	19.1	1	0.009742304025089254	accepted	n/a
PCA_22	24.88197116775909	23.480153752783195	0.764992604639761	0.005438411278304894	0	758	0.0	0.5952380952380952	9626	0.0	0.0	22.3	1	0.009395220378064038	accepted	n/a
PCA_23	23.686101898537427	30.301180286178532	0.9127932919670324	0.0053822546575278815	0	1277	0.0	0.7517674783974863	9161	-1.243133016969465	0.21520110436833256	22.0	1	0.00932333281642628	accepted	n/a
PCA_24	22.94987960974996	23.813644966892188	0.7792235524749076	0.005300750672282461	0	787	0.0	0.793873643905552	9582	2.1863676669079117	0.030136431310185147	20.0	-1	0.00917208378529716	accepted	n/a
PCA_25	22.53442425579899	22.1354613692827	0.7570888044402287	0.005163265095808855	0	607	0.0	0.0	9662	0.0	0.0	24.1	-1	0.008914898315788162	accepted	n/a
PCA_26	23.86998140394898	21.34896911217229	0.676320608274518	0.005093740183646139	0	684	0.0	0.0	9650	0.0	0.0	23.3	-1	0.008810701981296076	accepted	n/a
PCA_27	22.316390863072165	26.04384980241081	0.7567622740328577	0.005000509269714624	0	1015	0.0	0.5577211394302849	9607	0.0	0.0	23.3	1	0.008683209666448208	accepted	n/a
PCA_28	22.238048760608166	22.140452636874524	0.6418670434484743	0.004886941818541092	0	779	0.0	0.757201646090535	9649	0.0	0.0	24.1	-1	0.008569681288795107	accepted	n/a
PCA_29	21.12692811191931	19.205835961982043	0.5599043274903642	0.004753620133028124	0	330	0.0	0.0	9822	0.0	0.0	26.7	-1	0.008248585726254296	accepted	n/a
PCA_30	21.33674730790595	22.825360121610036	0.6127438712796454	0.004707858505310655	0	953	0.0	0.6553911205073996	9765	0.0	0.0	25.9	-1	0.008228684408716797	accepted	n/a
PCA_31	21.00933846632813	20.364487977821124	0.5593124250817658	0.004623191119429625	0	683	0.0	0.0	9718	0.0	0.0	25.7	1	0.007972906659593984	accepted	n/a
PCA_32	20.65852024279738	19.40406568135372	0.5357441486921843	0.004551088739998249	0	246	0.0	0.0	9665	0.0	0.0	25.7	-1	0.007846907350417648	accepted	n/a
PCA_33	20.703750296127918	22.3924729587647	0.6029860778949421	0.004515472808343183	0	486	0.0	0.0	9793	0.0	0.0	26.7	1	0.007792943136992894	accepted	n/a
PCA_34	20.5644034685081	20.357894263518094	0.5498808405245004	0.00445734479742803	0	428	0.0	0.7398568019093079	9725	0.0	0.0	26.7	-1	0.007684104804751119	accepted	n/a
