Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Fstat nuisance model	pval nuisance model	R2stat nuisance model	Var Exp of rejected to accepted	classification	classification_tags
ICA_00	38.163727022185576	19.137988284066775	0.7983240595247039	0.012250333466313407	1709	0	0.44958968347010553	0.0	17.518074652001264	6.86351357252426e-63	1	1.2646005245246492	0.19020171557425203	0.16871756375080482	n/a	rejected	Unlikely BOLD
ICA_01	49.196132670932215	20.422145623276364	1.0878264025555342	0.015129100257055649	3634	0	0.586499652052888	0.0	24.05936596802458	2.5350155880225104e-120	1	1.6584505016505462	0.031251377779794365	0.21021730385266724	n/a	rejected	Unlikely BOLD
ICA_02	35.96584461627252	36.410060437838425	2.6092686103806764	0.0273004769380407	719	507	0.0	0.0	8.983339241590226	1.5159464088128966e-17	-1	1.650230606462511	0.0325834221323793	0.20939355926216674	n/a	rejected	Unlikely BOLD
ICA_03	87.331043810887	39.57179875930557	46.435072105275324	0.39867409569187473	23963	4455	0.4956179457625644	0.22790856363016035	-7.6191395175988	4.758576386980123e-14	1	138.8815467114614	1.1102230246251565e-16	0.9570624368420272	n/a	rejected	Unlikely BOLD,External regressors
ICA_04	20.417559446416927	40.379709311817855	0.7532268075162711	0.009876800402491963	0	1048	0.0	0.6821158690176322	7.175976283803564	3.161758192004361e-12	1	1.9030712426873215	0.008523830292228474	0.23396958040887095	n/a	rejected	Unlikely BOLD
ICA_05	51.109957333695114	20.064786868000162	1.3427381194114543	0.016516287343909447	4439	288	0.49621511693593945	0.0	17.4253312761337	1.3125594713146489e-64	1	1.711012522108295	0.023853255101991433	0.21544441478618426	5.6159064943000825	accepted	Likely BOLD
ICA_06	37.13305410313615	34.52351571168732	2.684909301765765	0.02882039448018457	836	509	0.0	0.0	-0.6858493063906785	0.4930637685459074	-1	1.8803209320180396	0.009658424663335774	0.23182098759606096	n/a	rejected	Unlikely BOLD
ICA_07	27.35440502144656	27.107937397674423	1.2073947745531397	0.019531000874403497	266	0	0.0	0.0	-0.13695473373985098	0.891382481179759	1	20.703532401927898	1.1102230246251565e-16	0.7686678750487692	n/a	rejected	Unlikely BOLD,External regressors
ICA_08	31.547169244327694	18.790108148977062	0.6270574812520776	0.010940421872398012	736	0	0.5006839945280438	0.0	17.96877981546398	7.422939578674846e-68	1	1.8762580677815923	0.009875608014669357	0.2314360120776926	n/a	rejected	Unlikely BOLD
ICA_09	75.41964662730828	26.430310279318075	7.66921367041165	0.06276781303208316	13393	467	0.5065417666640861	0.0	0.0	0.0	-1	314.2425877711116	1.1102230246251565e-16	0.9805576061328161	n/a	rejected	Likely BOLD,External regressors
