rmse_mean	rmse_std	rmse_min	rmse_percentile02	rmse_percentile25	rmse_median	rmse_percentile75	rmse_percentile98	rmse_max
813.8794555664062	1083.0849609375	3.344388723373413	132.71941070556642	367.8475875854492	561.7666320800781	905.7858428955078	3091.4305566406274	44324.22265625
813.5853881835938	1086.620849609375	1.1839475631713867	132.34536376953125	364.1090316772461	556.8550415039062	900.40576171875	3125.6152294921876	43876.5703125
798.1183471679688	1067.7816162109375	3.5118331909179688	130.9459683227539	360.81695556640625	550.8785705566406	883.7050323486328	3044.665048828125	43876.21484375
798.3239135742188	1067.0435791015625	6.180537223815918	130.109111328125	360.50760650634766	550.8356628417969	884.4114837646484	3042.9660595703126	44013.3125
794.9166870117188	1061.2869873046875	5.490697383880615	131.7582113647461	362.21636962890625	550.0236206054688	881.9855194091797	3012.218061523438	44104.2421875
795.009765625	1068.8668212890625	5.972296714782715	130.33698852539064	360.7453842163086	548.1783142089844	877.2847900390625	3053.109125976563	43869.20703125
777.1353149414062	1045.0994873046875	8.674678802490234	131.0566635131836	358.7724380493164	544.6722717285156	863.3613128662109	2894.7092382812502	43692.1875
743.8197631835938	1018.8406372070312	6.164458274841309	127.60382720947266	349.94434356689453	528.0132446289062	824.0572662353516	2688.5406787109378	43302.4296875
726.3261108398438	1006.9271850585938	4.643468379974365	126.48952209472657	345.4783935546875	519.80712890625	803.7604827880859	2578.349648437501	43730.9453125
711.5205688476562	995.761962890625	0.923011302947998	124.87028076171875	340.90953063964844	512.9305419921875	787.7346496582031	2525.863305664063	43451.98046875
719.8897094726562	1004.317138671875	4.245911121368408	125.39814270019531	343.1467971801758	515.0594787597656	796.4633636474609	2566.675068359375	43658.97265625
705.188720703125	995.52392578125	4.276094913482666	121.52024490356445	337.1485061645508	505.65093994140625	775.709716796875	2512.195893554688	43499.828125
692.110595703125	983.7987670898438	5.89747428894043	121.99985916137695	334.153076171875	499.74562072753906	762.5205993652344	2458.5824853515633	43719.40234375
691.2550659179688	993.1491088867188	3.868665933609009	121.09508514404297	332.70926666259766	498.84893798828125	763.0793762207031	2445.230927734377	43318.625
684.7748413085938	984.3531494140625	1.4588485956192017	122.09977005004883	332.0599365234375	495.1020050048828	754.7040710449219	2410.221298828126	43251.47265625
674.3809814453125	975.6463012695312	3.916332244873047	120.9277279663086	329.68914794921875	490.9208984375	742.1523742675781	2342.398588867188	43476.96484375
696.017822265625	991.3824462890625	2.374244451522827	121.49549041748047	335.90763092041016	502.93186950683594	767.2126922607422	2463.9577734375007	43112.92578125
680.4822998046875	978.6318359375	3.2125742435455322	119.87988067626954	330.61814880371094	493.45155334472656	748.2843780517578	2402.5524609375007	43071.78515625
675.6187133789062	979.79052734375	1.6855374574661255	121.58550018310547	331.3031539916992	492.2533721923828	741.6096343994141	2354.5337402343753	43369.265625
662.0526733398438	968.4740600585938	5.665148735046387	119.89050674438477	326.30943298339844	484.7947235107422	726.1297760009766	2277.379887695313	43745.328125
654.979736328125	964.8118286132812	5.542825698852539	117.46224151611328	324.6084442138672	481.52598571777344	720.1714477539062	2235.628374023438	43651.33984375
657.6883544921875	967.3624267578125	0.5861396789550781	118.64413879394532	325.0345993041992	482.089599609375	721.8851165771484	2275.331000976563	43465.296875
650.3605346679688	966.5618286132812	3.4288582801818848	118.42768630981445	322.30287170410156	478.159912109375	712.2750396728516	2245.8328173828127	43733.29296875
655.5679321289062	968.9708251953125	4.221871852874756	119.13704269409179	324.17771911621094	479.43849182128906	719.0290374755859	2260.848916015625	43393.78125
645.2455444335938	962.570556640625	6.325056552886963	117.04474304199219	320.12767791748047	474.85894775390625	707.1965484619141	2209.7188037109386	43288.37109375
633.1747436523438	954.3623046875	1.3852237462997437	115.5747085571289	317.05809783935547	468.961181640625	692.7487030029297	2131.486059570313	43301.62109375
642.3126220703125	959.3994750976562	4.603954315185547	118.61153091430664	320.8011932373047	474.1035919189453	704.0374908447266	2168.4147363281263	43379.83984375
644.8785400390625	957.4764404296875	6.716742515563965	117.7057275390625	321.0550537109375	476.45497131347656	707.7175140380859	2195.337060546877	42881.75390625
627.0687255859375	951.3397827148438	5.28201150894165	115.04295135498046	314.5973205566406	465.0079650878906	684.8892822265625	2118.3810302734396	43592.82421875
640.1431884765625	961.7820434570312	4.4763007164001465	117.51849411010743	319.44412994384766	473.3433837890625	702.3112182617188	2161.2357031250003	43750.69140625
640.9519653320312	951.6473388671875	6.033182621002197	116.84979888916016	320.41829681396484	474.39027404785156	705.7395782470703	2145.754916992188	43475.3828125
647.296142578125	959.4662475585938	4.1323933601379395	118.0568017578125	320.75756072998047	476.0965270996094	711.3470764160156	2203.058129882814	42860.2109375
654.1038208007812	967.6197509765625	3.8544762134552	117.26825119018555	323.20899200439453	479.4443664550781	717.2016143798828	2250.117104492188	43620.0546875
648.4364624023438	964.4053955078125	3.040949821472168	116.50274200439453	321.7355499267578	476.380615234375	712.0625610351562	2219.5604882812513	43077.796875
642.928955078125	957.7582397460938	6.037840843200684	117.72839523315429	321.84976959228516	475.84303283691406	705.7568511962891	2177.363798828126	43628.6640625
631.6275024414062	948.1870727539062	3.457897424697876	117.36118133544922	317.61963653564453	469.21337890625	694.041259765625	2101.0894042968753	42906.61328125
624.1369018554688	952.3893432617188	3.7685837745666504	115.18225830078124	313.89754486083984	464.8186950683594	684.4624176025391	2062.420947265627	43247.5625
607.1078491210938	944.986328125	6.3953962326049805	113.74153533935547	309.2122116088867	454.3259582519531	663.2568969726562	1987.7826757812502	43656.8046875
612.7607421875	945.2281494140625	5.468019962310791	113.66131393432617	310.9810485839844	458.7109069824219	671.4523010253906	2008.0216308593756	43369.91015625
604.6945190429688	937.371337890625	4.281936168670654	114.24009521484375	308.3270568847656	453.8308410644531	662.1831970214844	1966.1848339843752	43024.37109375
609.9215698242188	944.1489868164062	1.6744980812072754	112.9557844543457	308.5822219848633	455.1098937988281	665.4595031738281	2052.040947265625	43077.18359375
603.7184448242188	948.8154296875	2.7379236221313477	111.87093933105469	305.9967575073242	450.2182312011719	656.6562805175781	2006.383388671881	43416.15625
591.1359252929688	933.8184204101562	3.8930907249450684	112.13623291015625	304.38086700439453	446.09007263183594	646.8866577148438	1897.3096777343756	43060.1328125
595.4141845703125	938.69677734375	7.113520622253418	112.81462799072266	305.05494689941406	447.9901580810547	649.4885406494141	1938.9186547851566	42925.8203125
589.6212768554688	937.46142578125	3.3370296955108643	109.63274795532226	301.44412994384766	442.9466857910156	643.1387023925781	1917.028564453126	42752.7109375
611.7097778320312	942.868896484375	0.568992555141449	113.99700302124023	311.6398391723633	459.48187255859375	672.2522735595703	1974.9220141601568	42925.5625
599.4611206054688	940.7607421875	5.581691741943359	113.26470855712891	307.45020294189453	451.6990509033203	656.7645416259766	1937.020051269532	43408.96484375
596.0673828125	936.1630859375	2.8407070636749268	113.28093505859376	306.52527618408203	449.97474670410156	654.2291107177734	1890.7718237304691	43137.203125
584.515869140625	933.599365234375	1.4773327112197876	112.02115661621093	302.0428695678711	443.541748046875	639.9239196777344	1840.0313427734384	43476.39453125
599.7583618164062	938.5040893554688	6.4791083335876465	113.05766311645507	307.9165802001953	453.62965393066406	658.7947387695312	1900.9812231445314	43100.89453125
600.8922119140625	937.1617431640625	5.918858528137207	113.7166438293457	307.93304443359375	452.7812957763672	659.2590789794922	1930.2213061523441	43018.5390625
591.072265625	932.7350463867188	3.288583517074585	110.68260116577149	303.75694274902344	446.4133605957031	647.5537414550781	1882.9579931640633	42847.3046875
607.5707397460938	939.9720458984375	5.647777557373047	113.63212051391602	311.3430709838867	457.66717529296875	669.6541442871094	1939.68783935547	43116.296875
611.6760864257812	941.2384033203125	5.637585163116455	114.4543995666504	309.8178176879883	456.9779968261719	671.6758270263672	2019.313522949219	43270.1953125
595.1974487304688	935.9617309570312	2.055036783218384	111.14330795288086	304.0597381591797	446.4443664550781	649.7533569335938	1939.8723657226583	43421.67578125
601.9859619140625	939.16015625	6.700700759887695	112.13766799926758	308.11380767822266	453.04541015625	660.9957580566406	1940.7827954101567	42897.73046875
593.2451171875	931.7496948242188	2.4640729427337646	112.3298796081543	304.60607147216797	447.9232482910156	650.8169250488281	1891.9876489257815	42938.25390625
598.9594116210938	937.0445556640625	1.0821645259857178	111.85220565795899	307.05782318115234	452.6691589355469	659.5463104248047	1907.1457983398439	42769.94140625
606.0872802734375	943.9969482421875	6.7960076332092285	114.68625228881835	308.76371002197266	454.5894317626953	665.1087646484375	1954.193198242188	42369.44140625
607.7586669921875	942.3692016601562	2.550539970397949	113.17060592651367	307.4012145996094	453.3904571533203	664.5435943603516	2012.2237719726622	42021.56640625
618.8966064453125	948.378662109375	5.974339485168457	114.17386291503907	310.7269744873047	459.2463684082031	676.6077728271484	2083.2832910156253	42403.8125
604.7842407226562	938.3467407226562	7.421448707580566	112.40676147460937	307.7272491455078	453.9626007080078	663.852783203125	1972.4079516601596	42198.62109375
587.6622924804688	930.0276489257812	4.033957004547119	110.94938079833985	303.23033142089844	445.4020233154297	644.1677703857422	1856.6506176757814	42825.8828125
605.1436767578125	938.5648803710938	5.058810710906982	112.85610397338867	308.72755432128906	455.744873046875	666.6349639892578	1951.0122167968755	42770.89453125
591.2554931640625	935.2659301757812	6.094277381896973	112.98848419189453	304.590087890625	447.1418151855469	648.5487518310547	1856.1695581054692	43011.62109375
592.9235229492188	932.8567504882812	1.1795755624771118	110.6897348022461	305.5233383178711	448.9081268310547	652.3859405517578	1863.445942382814	42772.9375
580.9653930664062	926.6116333007812	5.005560874938965	108.95005920410156	300.1316604614258	440.1371612548828	638.2939758300781	1813.2883349609376	42823.96875
566.3042602539062	926.7401733398438	2.5147030353546143	109.2119709777832	295.9032287597656	431.7942657470703	619.4570922851562	1736.0723242187523	43327.1484375
590.1353149414062	933.2169799804688	4.920899391174316	112.6087516784668	304.72811126708984	447.1029357910156	648.1165161132812	1853.0605908203129	42605.51953125
585.5991821289062	935.16015625	3.188283920288086	111.16012588500976	302.1948547363281	442.9044494628906	639.8870391845703	1863.9420312500004	43386.0234375
601.4105834960938	935.1783447265625	0.9776535034179688	113.13884628295898	308.19171142578125	453.1095733642578	661.0363616943359	1934.961398925782	43031.30078125
584.380615234375	930.3748168945312	4.33230447769165	110.38949768066406	300.3588638305664	439.7486114501953	636.8107757568359	1883.9330053710937	42813.71875
561.2490234375	924.8037109375	4.171628475189209	107.37620147705078	290.79396057128906	425.66700744628906	610.3657989501953	1778.321284179689	42827.68359375
574.384765625	929.8013305664062	6.403733730316162	110.31222457885742	297.3579864501953	434.65440368652344	628.3876037597656	1803.4651220703124	42831.39453125
573.8385009765625	928.93798828125	1.8894928693771362	108.27690689086914	296.1538543701172	433.5493469238281	626.2644500732422	1827.956208496094	42372.8671875
559.3699340820312	924.5388793945312	0.6297810077667236	105.94580017089844	290.3355178833008	423.5022430419922	608.8226776123047	1752.3073950195317	42123.5234375
567.7156372070312	928.9531860351562	3.4196369647979736	107.24275451660156	294.52001190185547	430.3904266357422	619.1046905517578	1785.8972680664065	42525.96875
560.9348754882812	926.7300415039062	1.5352870225906372	107.60013854980468	290.8643035888672	424.62562561035156	609.2099914550781	1776.9621289062509	42361.1953125
558.3732299804688	921.2948608398438	3.5158843994140625	106.65188827514649	290.43353271484375	425.1771545410156	608.6555633544922	1739.3406933593765	42301.07421875
561.0790405273438	923.8895263671875	6.12351655960083	106.04422561645508	292.17185974121094	428.15089416503906	612.5764007568359	1735.2954443359388	42409.0390625
559.5106811523438	922.3178100585938	3.3922204971313477	106.61300155639648	292.5892868041992	425.6479034423828	608.6339263916016	1736.0945092773445	42364.10546875
568.3820190429688	925.1339721679688	3.7627062797546387	107.79965377807616	294.9141616821289	431.9396667480469	619.7113037109375	1783.0384497070313	42511.2265625
559.4334716796875	922.2308349609375	3.9440228939056396	105.10803955078124	289.85904693603516	424.1016387939453	609.7576446533203	1758.7734594726571	42621.859375
558.2628784179688	920.7096557617188	3.453423023223877	107.02048782348633	291.6260681152344	424.6988067626953	608.4936981201172	1734.4742382812522	42900.328125
574.8170776367188	931.8948974609375	2.7141945362091064	109.29220336914062	297.2427062988281	435.71128845214844	627.4377899169922	1809.2684106445315	43286.23828125
559.6543579101562	922.9598999023438	2.3012096881866455	107.4974137878418	290.5217590332031	423.65478515625	606.7541351318359	1774.3195385742197	43358.66796875
559.6467895507812	923.5993041992188	2.320993661880493	107.34294540405273	292.1455383300781	426.4211120605469	609.6561584472656	1717.8482592773462	43170.3671875
555.41943359375	918.8173217773438	1.724874496459961	105.97907852172851	289.2322692871094	422.69850158691406	603.2941284179688	1734.9764868164068	43156.76953125
557.7384643554688	929.4165649414062	2.440141439437866	105.99708755493164	289.8711929321289	424.1239471435547	607.6747131347656	1730.0799194335946	42609.3828125
549.3167724609375	920.1946411132812	2.971088171005249	105.49177978515625	286.2308883666992	417.6068420410156	595.0477600097656	1719.6213647460945	43006.43359375
559.3125610351562	923.5717163085938	2.5768487453460693	106.50467956542968	291.7715606689453	425.9169006347656	608.856689453125	1737.5573168945318	43077.6328125
553.5706787109375	921.7260131835938	5.188479900360107	105.732587890625	288.5521774291992	421.00547790527344	601.1736602783203	1731.1864550781268	42816.96875
569.81396484375	926.1022338867188	4.388442516326904	108.45435485839843	295.96060943603516	431.83966064453125	620.9202728271484	1796.9712329101574	42821.20703125
578.6491088867188	931.2896728515625	3.468844175338745	109.22257385253906	298.01953125	436.3014831542969	630.8168029785156	1853.3568652343758	42989.9140625
567.7322998046875	923.972900390625	2.2094056606292725	106.90425735473633	293.49605560302734	429.1130065917969	617.7241973876953	1823.2947778320324	42790.90234375
568.0706176757812	920.4696044921875	0.7384065985679626	107.25339080810546	294.33518981933594	430.72715759277344	619.8170013427734	1785.6419750976588	42805.70703125
566.3175659179688	932.2417602539062	1.8170126676559448	106.43362274169922	291.8129119873047	426.9345245361328	615.3180236816406	1820.2709423828135	42631.9921875
555.641357421875	927.2047119140625	5.105721473693848	106.72179931640625	287.1599807739258	418.90704345703125	602.1834411621094	1760.255373535157	43052.41015625
559.0305786132812	922.9360961914062	3.871238946914673	106.39051193237304	290.85621643066406	425.91798400878906	610.8680419921875	1722.0673608398442	42664.26953125
557.245849609375	919.4747924804688	0.8075602054595947	105.53590286254882	289.816162109375	423.47547912597656	605.8657073974609	1738.233815917971	42294.9609375
567.2267456054688	924.4476318359375	3.9988481998443604	109.12679229736328	293.6101760864258	429.5816955566406	615.9191741943359	1805.6232885742215	42822.8046875
560.2355346679688	928.8468017578125	2.226247787475586	107.29049270629883	291.7023620605469	426.17677307128906	609.6544036865234	1741.952609863282	42286.6171875
556.8858032226562	919.90185546875	5.072030544281006	106.59264297485352	289.6929931640625	422.91648864746094	606.1803283691406	1736.5682739257823	42926.2109375
561.924560546875	924.59228515625	5.254242420196533	107.32267852783202	292.67897033691406	427.14837646484375	612.1160278320312	1748.359570312501	41673.17578125
554.4506225585938	923.7828979492188	1.495761513710022	105.94734008789062	288.20967864990234	420.6400146484375	601.7359924316406	1748.1996704101566	42368.95703125
557.9757080078125	922.8418579101562	4.905421733856201	106.39379226684571	289.9566879272461	423.54661560058594	608.0027160644531	1738.6212915039068	42291.05859375
572.8258056640625	929.7549438476562	3.218147039413452	108.85228729248047	294.95994567871094	432.05279541015625	624.9863739013672	1804.8624609375024	43246.8125
