Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Fstat nuisance model	pval nuisance model	R2stat nuisance model	Var Exp of rejected to accepted	classification	classification_tags
ICA_00	40.24920054194723	34.342206621207964	1.642489582296675	0.019055893818253608	1992	473	0.0	0.0	0.0	0.0	1	52.29611546560145	1.1102230246251565e-16	0.8935400497891935	n/a	rejected	External regressors
ICA_01	52.470393168696376	21.946756095134095	0.9876316791054129	0.013226690044448436	5156	0	0.5491049352190683	0.0	23.387077562202446	3.4226700622015825e-114	1	3.271724210956119	2.250927170655004e-06	0.3443016541942573	11.33253777258857	accepted	Likely BOLD
ICA_02	63.76275424251257	20.759795033373862	1.1354203161255079	0.012968048984026703	7036	149	0.596752961825362	0.0	24.857559468481455	1.2746095754045368e-129	1	1.3426281853266995	0.13793918845872222	0.17728215113512702	5.656648249852081	accepted	Likely BOLD
ICA_03	24.229730227459825	17.276312428709446	0.6245433446373152	0.008802206172258057	0	0	0.0	0.0	1.2405283355526158	0.21548831761387935	1	12.650506831789722	1.1102230246251565e-16	0.6700027471594108	n/a	rejected	External regressors
ICA_04	33.20568393399057	46.541898193868505	3.6209218707967032	0.02792143657367889	594	1512	0.28842832469775476	0.51742993848257	2.7578067360735012	0.005833912946428031	1	19.36261891148183	1.1102230246251565e-16	0.7565476991112751	n/a	rejected	External regressors,Unlikely BOLD
ICA_05	59.22210135578832	22.462884250089218	0.8544482037840664	0.01164690784294191	3746	119	0.5425330812854442	0.0	18.022934639147813	7.543276996693065e-71	1	2.1664808743151944	0.0019127086392151105	0.25799885048123294	7.351090012306216	accepted	Likely BOLD
ICA_06	92.45796747373383	34.570898634681534	24.840151189114685	0.23823838678649725	22480	3647	0.4987922427477053	0.18078271028037382	4.3593043237010445	3.1125822627312756e-05	-1	464.1428406062055	1.1102230246251565e-16	0.9867535739665991	n/a	rejected	Likely BOLD,External regressors
ICA_07	35.23000678802476	36.361248772893404	1.5641520602033874	0.01769590518189694	682	655	0.0	0.0	7.220882946559984	2.936915237494619e-12	-1	1.4773524896188193	0.07563735284084128	0.1916618007875004	n/a	rejected	Unlikely BOLD
ICA_08	101.93349572034724	35.1164433777465	48.172524179585366	0.44934621874715774	29549	5582	0.5442304095754629	0.13272022360472455	4.961495012781085	3.2864044659446768e-06	1	797.0641835010279	1.1102230246251565e-16	0.9922434851487862	n/a	rejected	Likely BOLD,External regressors
ICA_09	41.14517394264039	37.41739428578655	1.5954581891803443	0.01817581474163176	560	407	0.0	0.0	5.108748391276327	4.3383953095350236e-07	1	0.8975227695389666	0.6116154931766247	0.12590993319299515	n/a	rejected	Unlikely BOLD
