Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Fstat nuisance model	pval nuisance model	R2stat nuisance model	Var Exp of rejected to accepted	classification	classification_tags
ICA_00	25.64688988326374	19.436925414880967	5.016042724046748	0.05796391709080986	0	0	0.0	0.0	-3.7335186705378516	0.00019230427650731647	1	9.35637434898796	1.1102230246251565e-16	0.6002622803281901	n/a	rejected	External regressors
ICA_01	39.13883902355606	22.159455658460327	5.0243323045489685	0.04803081421467658	2294	0	0.5079578569827393	0.0	20.937248909204847	1.926464296613603e-89	1	1.759875722270763	0.018467976529440433	0.22024201207954164	0.48464066071437495	accepted	Likely BOLD
ICA_02	35.983163730223424	31.031861048062552	6.3172203105860705	0.06544525746651836	1163	851	0.0	0.0	-3.277722947089889	0.0011681045082209474	1	20.602332522112462	1.1102230246251565e-16	0.7677954159697513	n/a	rejected	Unlikely BOLD,External regressors
ICA_03	55.94328620335116	22.8157431427914	8.485045163676293	0.07698489326100594	5999	0	0.5043096163596417	0.0	18.646402953174164	1.8223099318300364e-75	1	4.046441902640429	1.8438283122534926e-08	0.39372956827616956	2.384106675138453	accepted	Likely BOLD
ICA_04	38.56288533742882	29.888435589310088	10.13724908788514	0.06890250612920432	1026	255	0.22822822822822822	0.0	-8.50408785620497	4.3191792365236614e-17	1	2.374044865156275	0.0005618791520409783	0.27589728711052774	n/a	rejected	Unlikely BOLD
ICA_05	51.75063821493781	22.73492783571039	7.635804610641873	0.06475304824241743	5276	109	0.5930941096817874	0.0	25.40635372942101	2.7677760639746247e-136	1	3.649574696252025	2.1446571596417385e-07	0.3693772932611168	3.8000701832108907	accepted	Likely BOLD
ICA_06	45.31188567827915	22.651156214652705	7.252266230730433	0.0762466764293653	4996	102	0.45066394279877425	0.0	16.558589722265847	2.9433461875617725e-56	1	4.394484308792489	2.1942145878028896e-09	0.4135886539017831	0.5707775427262196	accepted	Likely BOLD
ICA_07	38.05149286063879	20.49685419505606	8.451732378163527	0.10671658816808074	3194	422	0.33454201481948603	0.0	11.749345013746963	1.16638619239613e-31	-1	3.370756060912326	1.2148746059148507e-06	0.35106464426361894	n/a	rejected	Unlikely BOLD
ICA_08	59.190988021388144	23.414345139223492	8.94770881859421	0.07090010132204319	4909	171	0.6139266584260403	0.0	20.266624957598207	5.063397732260538e-89	1	1.9958124609576735	0.005084006782433592	0.2426053172200029	1.0133903781652576	accepted	Likely BOLD
ICA_09	37.054171012080204	31.7077509657784	7.767897913941721	0.08417836465995165	107	0	0.0	0.0	0.0	0.0	-1	17.782535754516406	1.1102230246251565e-16	0.7405284597606541	n/a	rejected	External regressors
ICA_10	32.33965801780899	28.479133973950123	5.777132633234375	0.05783475252035657	159	127	0.0	0.0	0.8413059198086167	0.4010762019105173	-1	0.4414730063310513	0.991745041256998	0.06616561429324141	n/a	rejected	Unlikely BOLD
ICA_11	28.024519642839575	24.666114751350083	3.8953922436955377	0.050158256321620014	0	0	0.0	0.0	0.0	0.0	1	4.851046989210061	1.4032397466223756e-10	0.4377483702052519	n/a	rejected	Unlikely BOLD
ICA_12	20.83463151983179	20.580264310275894	3.3075880759598206	0.03890120985857393	0	0	0.0	0.0	0.0	0.0	-1	1.9422750166933576	0.006860711206120418	0.2376440109566712	n/a	rejected	Unlikely BOLD
ICA_13	27.796625720607235	19.5284628764739	3.649162662287919	0.04093033153650816	0	0	0.0	0.0	4.88551038246043	3.384558577039428e-06	1	2.9558962030434652	1.603726431731456e-05	0.32175942667552815	n/a	rejected	Unlikely BOLD
ICA_14	31.416055754677245	27.592946018590727	5.105903585132353	0.053644304325914605	123	0	0.0	0.0	-0.10023525265823942	0.9203435532018085	1	0.7032602591723771	0.8536992756042301	0.10142158469220752	n/a	rejected	Unlikely BOLD
ICA_15	20.89480756937952	20.34260835141321	3.2295212568750036	0.03840897845295331	0	0	0.0	0.0	0.0	0.0	1	1.1480596691483351	0.29451843706324476	0.1555883304410488	n/a	rejected	Unlikely BOLD
