Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	estimated normalized variance explained	classification	rationale
PCA_00	112.31150284228248	35.283366411225416	69.14949162002814	0.21013839635604017	38785	8950	0.5714476709984491	0.10106877323420074	14699	-9.259837917646536	3.417242190981891e-17	11.4	-1	0.6073145887479883	accepted	n/a
PCA_01	66.228856296448	26.20731723937043	6.288778102964164	0.03433661338985738	12516	236	0.3566104990278678	0.0	11656	0.0	0.0	10.1	-1	0.059463285834894804	accepted	n/a
PCA_02	65.5357025165558	33.75163291819729	3.349085341753237	0.0231947517633709	11257	1757	0.44501255421136726	0.16541353383458646	10982	-5.205025231002566	7.461454158712305e-07	11.8	-1	0.037832037028425115	accepted	n/a
PCA_03	44.932319429765684	36.67361785833363	2.4128076122534465	0.01737857553727146	3150	1198	0.24306688417618272	0.0	10737	0.0	0.0	10.3	-1	0.02712471595711831	accepted	n/a
PCA_04	44.97975317781558	47.81754828253349	2.279671881680417	0.015933700619803055	4313	3390	0.2523931823488209	0.39048884950524293	10302	0.0	0.0	7.5	-1	0.025917756415975737	accepted	n/a
PCA_05	48.872701726276425	27.99553875348689	1.8827067301383147	0.012718685578168064	5932	476	0.3854502289299644	0.0	10714	0.0	0.0	8.1	-1	0.02089886038061087	accepted	n/a
PCA_06	55.90094264776786	25.042147786059473	1.6544191709117522	0.011195534928140564	7317	335	0.539921869645672	0.0	8553	15.300910248194453	1.355697239853607e-50	1.8	-1	0.017772407868061932	accepted	n/a
PCA_07	46.50807749548934	23.587207340445083	1.4516564461730361	0.009307436136653566	7617	102	0.4352065353448844	0.0	10436	0.0	0.0	6.7	-1	0.017725377810739924	accepted	n/a
PCA_08	31.779545984195888	28.535451732241093	0.8965785122245393	0.008123909322204598	177	232	0.0	0.0	9439	0.0	0.0	12.4	-1	0.01270602475240307	accepted	n/a
PCA_09	33.479197382621464	26.876424842687054	0.8581686013996809	0.00773596886178547	346	185	0.0	0.0	9868	0.0	0.0	12.0	1	0.011891039226318676	accepted	n/a
PCA_10	33.50671476850921	25.186670978544146	0.7950340790015873	0.007487301161652999	1084	200	0.17878647522000926	0.0	10641	8.99837556822328	4.2431597513419894e-16	7.4	-1	0.011405618232132531	accepted	n/a
PCA_11	30.37373437861841	23.354764050392117	0.7245665889535056	0.0074496921856449395	632	0	0.0	0.0	10754	0.0	0.0	14.6	1	0.011338414023345803	accepted	n/a
PCA_12	34.865269546482345	24.55600577142211	0.7409923920562405	0.007053596225381462	881	226	0.0	0.0	10405	0.0	0.0	11.4	-1	0.010862261106723017	accepted	n/a
PCA_13	30.501083448403453	23.788108304999035	0.628680835407823	0.006826765565671969	578	146	0.0	0.0	10577	0.0	0.0	13.0	1	0.010705554500497701	accepted	n/a
PCA_14	27.678041666026502	22.99984068851887	0.6562014823747113	0.0063680402506762	0	0	0.0	0.0	10720	0.0	0.0	16.9	1	0.0097466848085041	accepted	n/a
PCA_15	29.482085231779525	22.743999594057453	0.6365852287226405	0.006129193888152539	448	200	0.0	0.0	10774	0.0	0.0	15.6	1	0.009351659781749068	accepted	n/a
PCA_16	26.033436824719303	22.49286197662659	0.5935595694228009	0.005895984465091265	0	247	0.0	0.0	10644	0.4628477928137054	0.6441298473423203	14.4	1	0.009073232775267717	accepted	n/a
PCA_17	23.52390295087425	21.78267605895913	0.5140872372969727	0.005647355577271248	0	233	0.0	0.0	10734	0.0	0.0	17.9	1	0.008512859114625116	accepted	n/a
PCA_18	23.813043000024827	36.64825310833017	0.5490746606595602	0.005383888636040768	0	1317	0.0	0.7304479878511769	10313	0.0	0.0	15.9	1	0.008158500761934872	accepted	n/a
PCA_19	23.320269206505735	20.78077651250622	0.4451517083789592	0.0051851024473518244	0	149	0.0	0.0	10865	0.0	0.0	19.5	1	0.007900748095559997	accepted	n/a
PCA_20	23.122696406058925	25.525979102756697	0.4319836191681758	0.005124306364241407	258	773	0.0	0.0	10864	9.349061839137057	2.1509012267089075e-15	14.9	1	0.0077863731985220045	accepted	n/a
PCA_21	23.947498782759645	18.928000540481875	0.40695748604958926	0.004965191354404543	0	0	0.0	0.0	10830	0.0	0.0	18.5	1	0.007486709699147441	accepted	n/a
PCA_22	22.933713573287935	22.311628098663142	0.4465542784379233	0.004960681631656083	0	480	0.0	0.5666666666666667	10582	2.388426706764561	0.01820368232194891	15.0	1	0.007463961302609993	accepted	n/a
PCA_23	22.605071644521626	18.79808594034182	0.3857130735011775	0.0047322952292666014	0	0	0.0	0.0	10761	0.0	0.0	19.3	1	0.007251201838431942	accepted	n/a
PCA_24	21.064537631281414	19.677587510444436	0.3792673200059688	0.004710092619973239	0	268	0.0	0.0	10953	0.0	0.0	21.7	1	0.007084234460522022	accepted	n/a
PCA_25	21.14163002353983	21.05928160459406	0.39455033312644305	0.004596385481932667	0	387	0.0	0.0	10919	0.0	0.0	21.1	-1	0.0069130821645133605	accepted	n/a
PCA_26	21.102365032170468	19.1944793594846	0.36321786100729814	0.00455641936179061	157	299	0.0	0.0	10969	0.0	0.0	20.4	1	0.006850139422418512	accepted	n/a
PCA_27	21.6727432035427	18.44871231217363	0.338517459242772	0.004479813014318632	0	0	0.0	0.0	10908	0.0	0.0	20.5	-1	0.006755925657011891	accepted	n/a
PCA_28	21.655344225408676	19.84474970370337	0.3459407676591188	0.004443746261331224	0	0	0.0	0.0	11085	0.0	0.0	21.7	-1	0.006706745033946234	accepted	n/a
