Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	estimated normalized variance explained	classification	rationale
PCA_00	108.17078201202172	32.683498707437465	58.396254272457035	0.22531406570814438	34156	4495	0.5639672261944947	0.1032329988851728	11537	1.7005513631544493	0.0895209011927386	8.6	1	0.5262445370787797	accepted	n/a
PCA_01	68.42748300991445	42.99100218404065	10.882339632624554	0.06500819020575731	18141	4128	0.3946980033972877	0.27295162882527146	10658	-4.0862298551323155	8.018706221148215e-05	16.4	-1	0.10286806950148615	accepted	n/a
PCA_02	71.48597021502172	30.472222089437913	3.4435072744713247	0.02561868446777078	13274	1008	0.4275783906309029	0.0	10448	0.0	0.0	12.6	1	0.036724877345532786	accepted	n/a
PCA_03	79.83240086642043	23.336514971231903	5.319235879678136	0.020732051512118148	29941	2486	0.5909996017522899	0.019039902774964552	8810	2.2403425756876536	0.025269468909970408	1.4	-1	0.04646729896897725	accepted	n/a
PCA_04	45.51911090060965	29.235534079169593	1.9613815234772847	0.014854321474854729	5349	995	0.31048425011753644	0.0	9613	0.0	0.0	8.2	1	0.02012033982589403	accepted	n/a
PCA_05	42.57634274225106	51.794609068975554	1.9429285440878994	0.013592754683561267	2049	2510	0.27238712895984035	0.42959038108824127	8952	0.0	0.0	8.6	-1	0.019517333989360987	accepted	n/a
PCA_06	36.5421281180631	57.68539293763599	1.5525030041788137	0.01176300221746157	1095	2176	0.1998158379373849	0.5259709873654657	7669	-1.3618056643857879	0.1738726935812256	13.2	1	0.017080842246465153	accepted	n/a
PCA_07	40.82795883726049	34.322985898086934	1.189705421067252	0.010228535316062253	2269	1919	0.21455938697318008	0.0	9854	0.0	0.0	12.4	1	0.013726123133088396	accepted	n/a
PCA_08	42.85323801622096	40.451164710461654	1.362764184789063	0.010139492497454876	4362	3442	0.34774523477452346	0.33515482695810567	9574	0.0	0.0	7.8	-1	0.013545842055748573	accepted	n/a
PCA_09	34.70183483832386	23.68225472927098	0.881443226830614	0.008647778197181794	1000	315	0.0	0.0	9811	0.0	0.0	17.6	-1	0.011492527419906745	accepted	n/a
PCA_10	36.63626511124728	28.318199363422995	0.8485746484153379	0.008475452986643062	1638	1035	0.1537042729787888	0.34843907351460224	9677	-3.346327298455278	0.0010428330463508131	15.2	-1	0.011259369844521047	accepted	n/a
PCA_11	41.676726686502455	24.31878698582217	0.8333428839927317	0.0077576037885766945	3062	319	0.2641008626410086	0.0	9606	3.416677400572876	0.0007548920742308123	5.6	-1	0.010558268564411426	accepted	n/a
PCA_12	35.01999187948608	27.861576185892716	0.7660029783657704	0.007032123858830016	971	745	0.0	0.0	9740	0.0	0.0	16.9	-1	0.009305005494509924	accepted	n/a
PCA_13	35.04231741311391	24.111774621266573	0.6830414174229708	0.006700742067018251	688	149	0.0	0.0	9631	0.0	0.0	16.0	1	0.008851477346999892	accepted	n/a
PCA_14	30.606750288666234	21.830525755949633	0.6108754361821335	0.006481129970659603	109	329	0.0	0.0	9740	0.0	0.0	19.1	-1	0.008652829914912572	accepted	n/a
