Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	estimated normalized variance explained	classification	rationale
PCA_00	92.15095471772575	35.97930053364114	54.55827795883271	0.18769004548658394	28166	3676	0.4810509612900845	0.08431372549019608	12083	7.871260725993948	6.375847206678966e-12	7.0	-1	0.5390075110111721	accepted	n/a
PCA_01	61.338443372759144	31.767394595953476	6.027201234455476	0.0325537634115158	5903	0	0.2914590436226943	0.0	10224	0.0	0.0	12.4	-1	0.061513561478653174	accepted	n/a
PCA_02	98.93089675274526	26.768473665340935	5.257623435387759	0.025115740931114808	19299	311	0.6374686882003955	0.0	6516	9.969214425958722	2.7467861019070034e-23	0.8	-1	0.0466735549458465	accepted	n/a
PCA_03	59.11782722463171	30.843395394032424	5.177564043515292	0.01889625619386169	10019	335	0.4346213601964617	0.0	9180	13.715999009360754	5.032728513154844e-40	3.2	-1	0.03980610406312721	accepted	n/a
PCA_04	59.54304064143661	28.945153338788074	3.878539921304131	0.0160861778724982	9029	487	0.47384996063434937	0.0	8171	17.119710578657898	2.360244940596517e-62	2.2	1	0.031010993926578637	accepted	n/a
PCA_05	41.90049360133618	34.551442674587484	2.7340585129870427	0.014976293329779398	2034	325	0.26743314171457133	0.0	10016	0.0	0.0	15.2	1	0.026949340906680032	accepted	n/a
PCA_06	46.298484156865364	30.343279723589195	3.5721321086203357	0.01375763248189141	7868	562	0.41784937987469634	0.0	9742	0.18002720585407136	0.8573219493177231	10.8	-1	0.027916228177279543	accepted	n/a
PCA_07	48.0098221208742	28.67582543694129	2.016044407271443	0.011183137862967887	4576	337	0.39538565935308756	0.0	9857	9.463378243745227	9.213930318828913e-19	9.0	1	0.019360951105768322	accepted	n/a
PCA_08	50.35350442826733	24.64444608735996	1.7813041150653013	0.010010492953385753	4578	0	0.365133836650652	0.0	8066	7.524505021997273	7.946178274960151e-14	5.2	-1	0.017306846699640582	accepted	n/a
PCA_09	40.088005977161316	26.608208526626736	1.540549255294094	0.008947959859282949	2921	0	0.2160097239104011	0.0	9436	-1.4189027878043816	0.15703110060054218	14.0	1	0.015895174110587527	accepted	n/a
PCA_10	44.90155120428746	23.90869673881738	1.2973190905425525	0.008549803842936863	2914	0	0.3555018137847642	0.0	8796	5.978581921191164	3.000948098006684e-09	8.0	-1	0.015071844950128853	accepted	n/a
PCA_11	43.52600800643556	23.42655478409071	1.1459711909145454	0.007817771922659447	2907	0	0.0	0.0	8743	6.394627196487479	2.360994422589365e-10	10.3	-1	0.0133830704951292	accepted	n/a
PCA_12	38.51792674371149	22.102847166824542	1.0553571991728155	0.007187043497860903	1494	0	0.0	0.0	9286	5.160988926723636	4.247998998806652e-07	13.1	1	0.012273761830168994	accepted	n/a
PCA_13	34.62818378045204	23.123639778886375	0.977174151776793	0.007040025258750139	808	0	0.0	0.0	9195	5.273390549799645	3.259898911053967e-07	13.3	1	0.012231995198159124	accepted	n/a
PCA_14	32.890636474268696	23.45609853793702	0.9921541776417443	0.006771677459172796	909	0	0.0	0.0	9656	3.9507477402749283	0.0001349836402014707	16.7	1	0.011777113148808369	accepted	n/a
PCA_15	31.475898840606774	22.271456182630402	0.8572966919685457	0.0063771604091182295	896	93	0.0	0.0	9401	0.0	0.0	16.9	1	0.01086759607047221	accepted	n/a
PCA_16	29.33529889875159	21.542520449254056	0.7906807044987711	0.006277694850083731	108	0	0.0	0.0	9360	0.0	0.0	17.7	-1	0.010686123612150563	accepted	n/a
PCA_17	27.74607643743409	22.688938296828795	0.8810004420660517	0.00591097540693195	210	127	0.0	0.0	9234	4.260002050892793	3.786550839293748e-05	15.5	1	0.010068606755093485	accepted	n/a
PCA_18	32.53127883033392	21.498495007333986	0.7838451193015575	0.005829348213591263	1108	0	0.0	0.0	9220	8.762654520459128	1.9531888778237322e-16	11.7	-1	0.009974221951389743	accepted	n/a
PCA_19	26.423895457774673	20.344220649595545	0.7067123275973969	0.005536028535350752	179	0	0.0	0.0	9317	8.581567022657884	2.2277987598451883e-14	14.7	-1	0.00942904942618782	accepted	n/a
PCA_20	27.113895041110087	20.780611568566364	0.7040455429483986	0.005399905001855125	100	0	0.0	0.0	9385	7.105724787697261	2.517855556480905e-10	16.3	1	0.009181464265057672	accepted	n/a
PCA_21	25.742105448490673	19.312815651401515	0.6248688875302423	0.005142940007160348	0	0	0.0	0.0	9504	0.0	0.0	20.8	-1	0.008733064990503097	accepted	n/a
PCA_22	24.761843976233756	18.785173391511965	0.587744614204067	0.005069081517426728	0	0	0.0	0.0	9494	0.0	0.0	21.0	-1	0.008830012310073307	accepted	n/a
PCA_23	25.19577550706648	18.796956205477493	0.5467834709603522	0.004877993625523405	224	0	0.0	0.0	9443	7.498926488353164	1.0721067244085888e-11	16.3	1	0.008286207184256997	accepted	n/a
PCA_24	23.97287033869369	18.41234452523251	0.5254862416147079	0.004746223379094293	0	0	0.0	0.0	9637	0.0	0.0	21.8	-1	0.00805036673834736	accepted	n/a
PCA_25	23.01731392073283	18.0918779305524	0.4891384702778989	0.004656392356400753	106	0	0.0	0.0	9570	0.0	0.0	21.1	-1	0.007897106242648597	accepted	n/a
PCA_26	22.177092647611776	20.512395310850046	0.49112668424997785	0.004595943875538236	0	0	0.0	0.0	9459	0.0	0.0	21.4	1	0.007818128406090944	accepted	n/a
