Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Fstat nuisance model	pval nuisance model	R2stat nuisance model	Var Exp of rejected to accepted	classification	classification_tags
ICA_00	83.49109712270815	25.071069279098513	5.315556692044386	0.04495604393920259	7718	517	0.6008577847368779	0.0	17.134981514125208	1.4456513368432362e-64	1	2.3568475122698342	0.0006226605477276381	0.27444721659012594	4.389613367514622	accepted	Likely BOLD
ICA_01	58.250909436539885	36.0432707724735	8.77853548277477	0.07438451803516151	7817	820	0.3034249251204584	0.0	-10.246814677741808	2.2632822080875835e-22	1	42.97146046451142	1.1102230246251565e-16	0.873364087982239	n/a	rejected	Unlikely BOLD,External regressors
ICA_02	58.16728284409219	36.59610891104858	21.883420001100113	0.23874637061884108	10398	2705	0.29783402531139014	0.0	0.0	0.0	-1	347.29419129847486	1.1102230246251565e-16	0.982375306056349	n/a	rejected	External regressors
ICA_03	34.93951128638692	43.25412353144163	8.873950418429022	0.06053246746417	589	830	0.3307223672758921	0.09583074051026758	5.722554712693988	1.4630638650555222e-08	1	3.378433222975977	1.1581645000813268e-06	0.35158310372149826	n/a	rejected	Unlikely BOLD
ICA_04	53.853338261528286	22.061596286717293	2.909712793805008	0.030394417787971507	6247	109	0.5467389518646295	0.0	23.516074155716428	1.0863872838029692e-116	1	2.947011095520708	1.6945315969851826e-05	0.3211028147055268	n/a	rejected	Unlikely BOLD
ICA_05	40.6653886282109	22.02328009505798	1.8424946447134902	0.022203096922794385	2362	0	0.4706133789271212	0.0	17.826047071236573	3.3840286240384575e-65	1	2.899106874661343	2.2798449013206046e-05	0.3175406589512113	n/a	rejected	Unlikely BOLD
ICA_06	45.68050266196308	26.33237668764778	5.404823578044189	0.03832355437398559	2347	412	0.41748400852878464	0.0	-8.371149907884844	6.992929017590173e-17	1	4.154081867095442	9.520448318589558e-09	0.4000136186786156	n/a	rejected	Unlikely BOLD
ICA_07	85.3652716108532	23.802299037737015	5.411165913938802	0.048925155914294444	10512	196	0.6181439825595798	0.0	14.91279937352234	1.1233188222057555e-49	1	1.9636498734591443	0.00608966610554218	0.239632589996024	5.128848575124567	accepted	Likely BOLD
ICA_08	33.6107542722089	25.988342430021472	1.9902819861238916	0.022345577957609216	1322	0	0.0	0.0	0.0	0.0	1	1.230168236136126	0.2176435447199515	0.1648811884019683	n/a	rejected	Unlikely BOLD
ICA_09	46.33399242534588	31.05690872895994	2.8467470583889387	0.03395964909346354	3232	437	0.3758854084684401	0.0	6.977509707102754	3.095173069145493e-10	-1	12.443804977246241	1.1102230246251565e-16	0.6663501313944353	n/a	rejected	External regressors
ICA_10	86.10914239352087	24.82118429840182	5.433834571517507	0.052783940201411056	11983	538	0.6199584375927732	0.0	17.796752594683486	1.2813401800072358e-69	1	3.48623479208259	5.92018506440084e-07	0.3587767159387697	4.126548114612961	accepted	Likely BOLD
ICA_11	28.98423033266663	28.053240934329537	2.57042194080594	0.031935856710629096	0	470	0.0	0.1914648212226067	-16.49044859491772	5.987027126670268e-57	1	9.527624287206832	1.1102230246251565e-16	0.6046063182987778	n/a	rejected	External regressors
ICA_12	27.972328127748167	24.279053652150328	2.0022000855036954	0.020887479488430876	312	0	0.0	0.0	3.40557029700888	0.0007351770318586453	1	1.858922941723597	0.010855495416609684	0.22978908246279695	n/a	rejected	Unlikely BOLD
ICA_13	55.70920840709744	24.915117122669255	3.65551839354283	0.03982313969842079	7007	129	0.4783367257923815	0.0	16.821877197519928	3.95548247417748e-62	1	3.7278554392991596	1.3195056081105605e-07	0.37433436471439574	n/a	rejected	Unlikely BOLD
ICA_14	28.900838128409056	24.101366998563847	1.5954313860347167	0.021756290327740357	246	163	0.0	0.0	2.596873782614868	0.01049338561519727	1	11.121326598165204	1.1102230246251565e-16	0.640921229792917	n/a	rejected	External regressors
ICA_15	60.17397496427771	31.9267327360942	16.891515933787577	0.18625572677301133	9408	344	0.2768749650974479	0.0	0.0	0.0	-1	194.08383920734337	1.1102230246251565e-16	0.9688950831926259	n/a	rejected	External regressors
ICA_16	34.42982119488453	25.453375037697146	2.5943891194451223	0.03178671469286268	101	0	0.0	0.0	0.0	0.0	1	43.87888824481256	1.1102230246251565e-16	0.8756573174780639	n/a	rejected	External regressors
