Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	estimated normalized variance explained	classification	rationale
PCA_00	100.91148517750324	33.73458460837289	45.02909160252045	0.13044820321643527	21397	2443	0.4866523042337954	0.0	13017	11.25591571519249	1.4163748038253623e-22	5.6	1	0.41966780124163533	accepted	n/a
PCA_01	54.33317997041301	28.394297423346146	9.581248240154865	0.04089446069334061	9241	1924	0.24821262893630955	0.1001338688085676	10093	-2.2171015937537635	0.02760600742182983	11.6	-1	0.0951409923645812	accepted	n/a
PCA_02	49.620344282701616	30.659054910147784	8.182411011968227	0.034644453035390405	6103	1861	0.23908789245299072	0.04853060124022648	9230	13.154365892193473	5.9022065052030526e-37	4.4	-1	0.07919027865804025	accepted	n/a
PCA_03	55.23949351799333	25.14822191678441	5.809221828887775	0.018108370195983884	12560	1838	0.4180940892641737	0.09481808158765159	8112	10.578677419358643	1.447126273962242e-25	2.2	-1	0.05224759863290642	accepted	n/a
PCA_04	47.1349534132011	25.375358878002352	4.695257887188975	0.016340449345621885	5843	0	0.3350812794965915	0.0	8824	4.7747333395800435	2.0807264684501634e-06	4.6	-1	0.04108102877086028	accepted	n/a
PCA_05	42.78186988128591	25.72357504705614	3.0518601858526133	0.014333444941476528	3407	104	0.15255731922398588	0.0	9846	0.0	0.0	11.6	-1	0.030863393287846982	accepted	n/a
PCA_06	37.32331791351089	24.09546756646983	2.2159247237163635	0.010373150907127553	2286	504	0.0	0.0	9639	0.0	0.0	13.3	-1	0.02236975287877098	accepted	n/a
PCA_07	35.904002307093535	39.24780657841476	2.180235968493256	0.01011921143913373	622	909	0.33467417538214	0.5368536853685368	6633	10.58882682574863	3.3013314426833304e-25	5.2	-1	0.022829613853825752	accepted	n/a
PCA_08	30.845728021077523	29.30508329803634	1.8847087933226574	0.00955834878604944	287	769	0.0	0.0	9698	3.4080335458037436	0.0008962384831736534	14.5	1	0.02040045345021494	accepted	n/a
PCA_09	32.61251010636119	33.75419825331484	1.823466080907532	0.0092607102902168	136	840	0.0	0.0	7768	2.472310091147398	0.013967866289532255	10.9	1	0.020149109964405446	accepted	n/a
PCA_10	29.7450704201263	21.31964603489357	1.4586712072176273	0.007965364969256164	889	164	0.0	0.0	9566	0.0	0.0	14.5	1	0.01696724260710477	accepted	n/a
PCA_11	33.80649329673666	20.027745809272066	1.556093162122861	0.007888980708835328	1509	283	0.3027616774633481	0.0	8686	15.45764067622453	1.3679835321892635e-46	5.0	-1	0.01689727112137679	accepted	n/a
PCA_12	28.49574729227435	20.619382677169767	1.3851741976203573	0.00740324154259317	372	110	0.0	0.0	9431	0.0	0.0	14.1	1	0.015665042383176394	accepted	n/a
PCA_13	26.14480975435699	21.173329721884674	1.189083274485219	0.00694971258512018	399	0	0.0	0.0	9251	0.0	0.0	13.3	-1	0.014994905553659555	accepted	n/a
PCA_14	25.520106607797572	18.63321460066587	1.1772597620301315	0.006787782138647061	278	106	0.0	0.0	9451	4.085734400783489	7.063866721886864e-05	13.9	1	0.014319627807818862	accepted	n/a
PCA_15	29.582493643969833	22.06245684273663	1.1642811900367043	0.0063584162847034826	1606	441	0.37	0.0	9112	13.45404574099953	1.1384289682830707e-28	5.6	1	0.014394580914706525	accepted	n/a
PCA_16	22.32760301234443	19.527305986623755	0.9239873949433317	0.005994395191341974	0	0	0.0	0.0	9334	0.0	0.0	16.6	1	0.012592020826366098	accepted	n/a
PCA_17	23.363084059598197	20.672812575919014	1.0284407094022474	0.005868621823177947	0	0	0.0	0.0	9419	0.0	0.0	16.8	1	0.012340206757739135	accepted	n/a
PCA_18	24.369928997130177	18.522446140550745	0.937945339003758	0.0056661461319521	331	0	0.0	0.0	9410	6.110993412206391	1.8933370156005708e-08	12.3	-1	0.011920699707949388	accepted	n/a
PCA_19	21.404271282297724	19.322286606207072	0.8412558921197293	0.005595555977047102	95	102	0.0	0.0	9541	0.0	0.0	17.7	-1	0.011767449252985647	accepted	n/a
PCA_20	23.770486137776754	21.064865791909064	0.8553548924356156	0.005352032009300706	309	491	0.0	0.0	9544	0.0	0.0	16.3	1	0.011250797990877259	accepted	n/a
PCA_21	21.942064841865363	18.631094247076643	0.7938123790071543	0.00527547423785256	0	215	0.0	0.0	9550	0.0	0.0	18.6	-1	0.011163245247472578	accepted	n/a
PCA_22	20.73921339338543	18.97697511454764	0.7215473323216492	0.005097620588924211	0	120	0.0	0.0	9512	0.0	0.0	18.4	1	0.010702330108236088	accepted	n/a
PCA_23	20.518875922394013	19.475675778762614	0.7628952559674775	0.005038875917385975	0	456	0.0	0.0	9446	0.0	0.0	18.2	1	0.010565052985125598	accepted	n/a
PCA_24	20.05592385148101	19.61302611364755	0.7507716882734187	0.0049917511226142425	0	396	0.0	0.5	9582	0.0	0.0	19.8	-1	0.010519503632317698	accepted	n/a
