Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Fstat nuisance model	pval nuisance model	R2stat nuisance model	Var Exp of rejected to accepted	classification	classification_tags
ICA_00	49.610162564108236	22.188273402045827	3.3257984577846114	0.04297943507578328	5805	143	0.4900998773436131	0.0	14.627708445563801	5.765606555557304e-45	1	2.7950042021290855	4.3370749640336825e-05	0.3096692181460582	4.687373635979908	accepted	Likely BOLD
ICA_01	71.40928146780627	21.854459745342094	3.6784219084684335	0.037278098874248704	5626	183	0.6513163929914687	0.0	22.944771705833887	1.0446311995452497e-112	1	3.107280148600768	6.263966441322211e-06	0.33275473520899324	3.3560260418118992	accepted	Likely BOLD
ICA_02	27.213288743241453	24.049007556301223	1.6322115868286795	0.02505037976719313	0	124	0.0	0.0	0.0	0.0	1	8.037021232231389	1.1102230246251565e-16	0.563298238299271	n/a	rejected	External regressors
ICA_03	27.183982106012092	23.993828182905848	1.4764523122603461	0.023247604086707705	0	122	0.0	0.0	0.0	0.0	1	4.485340072724831	1.2643296409819982e-09	0.41856050042923276	n/a	rejected	Unlikely BOLD
ICA_04	38.412437928490185	26.99245359363909	3.6177800947818812	0.045062095434425874	648	0	0.0	0.0	0.0	0.0	-1	58.56557564669093	1.1102230246251565e-16	0.9038407298659736	n/a	rejected	External regressors
ICA_05	22.70154881307963	19.390868106476916	1.255533495805111	0.021451497634381398	0	0	0.0	0.0	0.1303284383826902	0.896330439842056	1	2.6632583604982503	9.745224665369534e-05	0.2994434560910454	n/a	rejected	Unlikely BOLD
ICA_06	33.87550431036414	20.133599523821754	1.6807349033259285	0.022657528480311055	914	154	0.39846322722283206	0.0	15.831030979131288	1.3682170015223564e-50	1	2.283436819125019	0.0009630945502808741	0.2681913975001087	1.0322703334016192	accepted	Likely BOLD
ICA_07	62.030141706236414	22.55450282593733	4.316565918824442	0.04410045142497316	7202	192	0.5555322862129145	0.0	20.19559185231518	1.8763877692222063e-88	1	4.10273146882385	1.3046136393413121e-08	0.39703209861740374	6.2328439358775745	accepted	Likely BOLD
ICA_08	28.182743225674546	18.631395937820756	1.4426701077979216	0.020705638532961354	665	111	0.5305810397553516	0.0	17.818530119652717	3.313948776757746e-63	1	5.702180425492178	9.700018566149993e-13	0.4778517122545768	n/a	rejected	Unlikely BOLD
ICA_09	27.5435230715061	26.919532114308332	2.2203139840860393	0.026647905442418202	0	238	0.0	0.0	2.816225665825485	0.005092765714290368	1	1.0442904351753182	0.413921411772315	0.14354389972411774	n/a	rejected	Unlikely BOLD
ICA_10	25.71459608968681	29.283565704141534	2.0781126536127688	0.024836978831700256	0	345	0.0	0.48034934497816595	3.3599701154687223	0.0008191044354255127	1	1.1418047645572662	0.30103654727776274	0.15487193011301892	n/a	rejected	Unlikely BOLD
ICA_11	30.965302458170264	28.470797067391516	2.296431796567021	0.029187628190278436	138	141	0.0	0.0	4.914416274515853	1.3599777798002783e-06	1	0.9199429415762811	0.5804960619470527	0.1286505342969957	n/a	rejected	Unlikely BOLD
ICA_12	42.30376839130173	29.174140448209553	4.964391615677856	0.0385200530710511	1228	283	0.0	0.0	-3.0370138146931005	0.0024325020205833692	1	2.3583207891369082	0.0006172102624772968	0.2745716698359485	n/a	rejected	Unlikely BOLD
ICA_13	31.100738247279807	27.60723975754472	2.326027192100229	0.028748895652783973	114	200	0.0	0.0	1.3651030666505088	0.1730409096197239	1	1.0828979111099988	0.3668175284067553	0.14806497070520908	n/a	rejected	Unlikely BOLD
ICA_14	26.7253665368109	36.269250744290396	2.2562098972520728	0.024255401557147324	0	1064	0.0	0.5234186383389667	0.0	0.0	-1	2.144011570489799	0.0021791845866325765	0.2560080820464551	n/a	rejected	Unlikely BOLD
ICA_15	23.35090462294203	17.407947610085078	1.4073474493592542	0.0237374782414628	101	0	0.0	0.0	0.5665971254628985	0.5711302726554854	1	1.527844482746941	0.059591218729340034	0.1969223548383785	n/a	rejected	Unlikely BOLD
ICA_16	64.75408879688385	23.133134143552347	4.522228184489379	0.042190449491459545	6737	100	0.5584750911300121	0.0	17.992322116029307	4.210424972924622e-70	1	4.487517471130117	1.2477653354991958e-09	0.4186786186951783	3.2266960492761565	accepted	Likely BOLD
ICA_17	24.90491090809598	19.560546042476698	1.4148083338566229	0.023290719531843734	0	0	0.0	0.0	0.0	0.0	1	9.83567160027075	1.1102230246251565e-16	0.6121873353100376	n/a	rejected	External regressors
ICA_18	71.18727168957483	40.96134426353783	22.66084076098903	0.18142749289704804	16075	3675	0.5148121273306622	0.21969904240766075	-4.117988100501059	5.2243495291061814e-05	1	12.759550114404341	1.1102230246251565e-16	0.6718976064848119	n/a	rejected	External regressors,Unlikely BOLD
ICA_19	70.381299807264	40.10962372383608	28.494475613819432	0.23193103421535116	17031	3053	0.4744604205794513	0.22551632245169886	0.0	0.0	-1	28.401443596235787	1.1102230246251565e-16	0.8200874641798606	n/a	rejected	External regressors
ICA_20	24.58537057018669	18.72207489758017	1.3859228575848734	0.020243679522458723	127	322	0.0	0.0	0.0	0.0	-1	2.426614544848958	0.0004099907368033673	0.2802942098608403	n/a	rejected	Unlikely BOLD
ICA_21	25.17122648469767	20.019379775144774	1.5467208747280785	0.02244955404401095	333	195	0.0	0.0	14.367029807026677	3.05173561547655e-38	-1	2.1344990414319267	0.0023025639680128718	0.2551620548171941	n/a	rejected	Unlikely BOLD
