2026-01-24T14:18:57	tedana.tedana_workflow	INFO    	Computing T2* map
2026-01-24T14:22:37	combine.make_optcom 	INFO    	Optimally combining data with voxel-wise T2* estimates
2026-01-24T14:22:45	tedana.tedana_workflow	INFO    	Writing optimally combined data set: /lustre10/scratch/bpinsard/emotion-videos.tedana/sub-02/ses-001/func/sub-02_ses-001_task-emotion_run-05_desc-optcom_bold.nii.gz
2026-01-24T14:22:45	pca.tedpca      	INFO    	Computing PCA of optimally combined multi-echo data with selection criteria: aic
2026-01-24T14:23:12	pca.tedpca      	INFO    	Optimal number of components based on different criteria:
2026-01-24T14:23:12	pca.tedpca      	INFO    	AIC: 27 | KIC: 24 | MDL: 17 | 90% varexp: 160 | 95% varexp: 175
2026-01-24T14:23:12	pca.tedpca      	INFO    	Explained variance based on different criteria:
2026-01-24T14:23:12	pca.tedpca      	INFO    	AIC: 0.401% | KIC: 0.386% | MDL: 0.347% | 90% varexp: 0.902% | 95% varexp: 0.953%
2026-01-24T14:23:12	pca.tedpca      	INFO    	Plotting maPCA optimization curves
2026-01-24T14:23:13	collect.generate_metrics	INFO    	Calculating weight maps
2026-01-24T14:23:14	collect.generate_metrics	INFO    	Calculating parameter estimate maps for optimally combined data
2026-01-24T14:23:15	collect.generate_metrics	INFO    	Calculating z-statistic maps
2026-01-24T14:23:15	collect.generate_metrics	INFO    	Calculating F-statistic maps
2026-01-24T14:23:21	collect.generate_metrics	INFO    	Thresholding z-statistic maps
2026-01-24T14:23:22	collect.generate_metrics	INFO    	Calculating T2* F-statistic maps
2026-01-24T14:23:23	collect.generate_metrics	INFO    	Calculating S0 F-statistic maps
2026-01-24T14:23:24	collect.generate_metrics	INFO    	Counting significant voxels in T2* F-statistic maps
2026-01-24T14:23:24	collect.generate_metrics	INFO    	Counting significant voxels in S0 F-statistic maps
2026-01-24T14:23:24	collect.generate_metrics	INFO    	Thresholding optimal combination beta maps to match T2* F-statistic maps
2026-01-24T14:23:28	collect.generate_metrics	INFO    	Thresholding optimal combination beta maps to match S0 F-statistic maps
2026-01-24T14:23:32	collect.generate_metrics	INFO    	Calculating kappa and rho
2026-01-24T14:23:32	collect.generate_metrics	INFO    	Calculating variance explained
2026-01-24T14:23:32	collect.generate_metrics	INFO    	Calculating normalized variance explained
2026-01-24T14:23:32	collect.generate_metrics	INFO    	Calculating DSI between thresholded T2* F-statistic and optimal combination beta maps
2026-01-24T14:23:32	utils.dice        	WARNING 	12 of 27 components have empty maps, resulting in Dice values of 0. Please check your component table for dice columns with 0-values.
2026-01-24T14:23:32	collect.generate_metrics	INFO    	Calculating DSI between thresholded S0 F-statistic and optimal combination beta maps
2026-01-24T14:23:32	utils.dice        	WARNING 	8 of 27 components have empty maps, resulting in Dice values of 0. Please check your component table for dice columns with 0-values.
2026-01-24T14:23:32	collect.generate_metrics	INFO    	Calculating signal-noise t-statistics
2026-01-24T14:23:32	collect.generate_metrics	INFO    	Counting significant noise voxels from z-statistic maps
2026-01-24T14:23:32	collect.generate_metrics	INFO    	Calculating decision table score
2026-01-24T14:23:34	pca.tedpca      	INFO    	Selected 27 components with 40.05% normalized variance explained using aic dimensionality estimate
2026-01-24T14:38:36	ica.r_ica       	INFO    	The DBSCAN clustering algorithm was used for clustering components across different runs
2026-01-24T14:38:36	ica.r_ica       	INFO    	RobustICA with 50 robust runs and seed 42 was used. 24 components identified. The mean Index Quality is 0.9221635104875464.
2026-01-24T14:38:36	ica.r_ica       	INFO    	The DBSCAN clustering algorithm detected outliers when clustering components for different runs. These outliers are excluded when calculating the index quality and the mixing matrix to maximise the robustness of the decomposition.
2026-01-24T14:39:01	collect.generate_metrics	INFO    	Calculating weight maps
2026-01-24T14:39:05	collect.generate_metrics	INFO    	Calculating parameter estimate maps for optimally combined data
2026-01-24T14:39:07	collect.generate_metrics	INFO    	Calculating z-statistic maps
2026-01-24T14:39:07	collect.generate_metrics	INFO    	Calculating F-statistic maps
2026-01-24T14:39:15	collect.generate_metrics	INFO    	Thresholding z-statistic maps
2026-01-24T14:39:15	collect.generate_metrics	INFO    	Calculating T2* F-statistic maps
2026-01-24T14:39:16	collect.generate_metrics	INFO    	Calculating S0 F-statistic maps
2026-01-24T14:39:17	collect.generate_metrics	INFO    	Counting significant voxels in T2* F-statistic maps
2026-01-24T14:39:17	collect.generate_metrics	INFO    	Counting significant voxels in S0 F-statistic maps
2026-01-24T14:39:17	collect.generate_metrics	INFO    	Thresholding optimal combination beta maps to match T2* F-statistic maps
2026-01-24T14:39:25	collect.generate_metrics	INFO    	Thresholding optimal combination beta maps to match S0 F-statistic maps
2026-01-24T14:39:27	collect.generate_metrics	INFO    	Calculating kappa and rho
2026-01-24T14:39:27	collect.generate_metrics	INFO    	Calculating variance explained
2026-01-24T14:39:27	collect.generate_metrics	INFO    	Calculating normalized variance explained
2026-01-24T14:39:27	collect.generate_metrics	INFO    	Calculating DSI between thresholded T2* F-statistic and optimal combination beta maps
2026-01-24T14:39:27	utils.dice        	WARNING 	6 of 24 components have empty maps, resulting in Dice values of 0. Please check your component table for dice columns with 0-values.
2026-01-24T14:39:27	collect.generate_metrics	INFO    	Calculating DSI between thresholded S0 F-statistic and optimal combination beta maps
2026-01-24T14:39:27	utils.dice        	WARNING 	7 of 24 components have empty maps, resulting in Dice values of 0. Please check your component table for dice columns with 0-values.
2026-01-24T14:39:27	collect.generate_metrics	INFO    	Calculating signal-noise t-statistics
2026-01-24T14:39:27	collect.generate_metrics	INFO    	Calculating external regressor fits. Fits all external nuisance regressors to a single model using an F statistic
2026-01-24T14:39:27	external.fit_regressors	INFO    	External regressors fit for nuisance includes detrending with 2 Legendre Polynomial regressors.
